tweetid,userid,user_display_name,tweet_time,Crime,Crime_keywords,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Events,Events_keywords,Politics,Politics_keywords,Lifestyle,Lifestyle_keywords,Technology,Technology_keywords,Science,Science_keywords,Health,Health_keywords,City Hall types stories,City Hall types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,2nd Amendment,2nd Amendment_keywords,Education,Education_keywords,Travel,Travel_keywords,Obituaries,Obituaries_keywords,Stock Exchange,Stock Exchange_keywords,Immigration,Immigration_keywords,Religion,Religion_keywords,Race,Race_keywords,Terrorism,Terrorism_keywords,Leisure,Leisure_keywords,Courthouse types stories,Courthouse types stories_keywords,Russian Sphere,Russian Sphere_keywords,State House types stories,State House types stories_keywords,Abortion,Abortion_keywords
720076604769079296,2753211010,Phoenix Daily News,2016-04-13 02:30:00,1.0,"('arrest',)",0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720463270512062464,2630842499,San Diego Daily,2016-04-14 04:06:00,,,0.0,(),0.0,(),0.0,(),,,2.0,"('clinton', 'politics')",1.0,"('trip',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721415092831543296,2587843805,KansasCityDailyNews,2016-04-16 19:08:00,,,0.0,(),0.0,(),0.0,(),,,,,,,2.0,"('google', 'technology')",1.0,"('experiment',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721467000000000000,2928870434,Newspeak Daily,2016-04-16 22:34:00,0.0,(),0.0,(),0.0,(),0.0,(),,,1.0,"('politics',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719489604454211584,2601235821,Pittsburgh Today,2016-04-11 11:37:00,,,0.0,(),0.0,(),0.0,(),,,,,,,,,,,3.0,"('brain', 'disease', 'virus')",1.0,"('report',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721194909558964224,3074563039,St. Louis Online,2016-04-16 04:34:00,1.0,"('fraud',)",0.0,(),,,,,,,,,,,,,,,,,,,2.0,"('bank', 'business')",2.0,"('bank', 'business')",1.0,"('business',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719319413132886016,2494112058,San Jose Daily,2016-04-11 00:21:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,3.0,"('baseball', 'run', 'sport')",,,,,,,,,,,,,,,,,,,,,,,,,,,,
720327376412934144,2495567768,San Francisco Daily,2016-04-13 19:06:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,1.0,"('gun',)",,,,,,,,,,,,,,,,,,,,,,,,,,
721745645158051840,2611151319,Seattle Post,2016-04-17 17:02:00,,,0.0,(),0.0,(),0.0,(),,,,,2.0,"('book', 'entertainment')",,,,,,,,,,,,,1.0,"('entertainment',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719526906354270208,2611151319,Seattle Post,2016-04-11 14:05:00,,,0.0,(),0.0,(),0.0,(),,,,,2.0,"('entertainment', 'trip')",,,,,,,,,,,,,2.0,"('comedy', 'entertainment')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719746900031721472,2495567768,San Francisco Daily,2016-04-12 04:40:00,0.0,(),0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720161084598935552,2611151319,Seattle Post,2016-04-13 08:05:00,,,0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,1.0,"('sport',)",,,1.0,"('master',)",,,,,,,,,,,,,,,,,,,,,,,,
720404727649804288,2494112058,San Jose Daily,2016-04-14 00:14:00,,,0.0,(),0.0,(),,,,,1.0,"('politics',)",,,,,,,,,,,,,1.0,"('facebook',)",,,,,,,1.0,"('test',)",,,,,,,,,,,,,,,,,,,,,,,,
720256076575219712,2611151319,Seattle Post,2016-04-13 14:23:00,,,0.0,(),0.0,(),,,,,1.0,"('politics',)",1.0,"('entertainment',)",,,,,,,,,,,,,1.0,"('entertainment',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721404211653509120,2591847731,Boston Today,2016-04-16 18:25:00,,,0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,1.0,"('game',)",3.0,"('nba', 'sport', 'star')",,,,,1.0,"('star',)",,,,,,,,,,,,,,,,,,,,,,
720338946270441472,2587843805,KansasCityDailyNews,2016-04-13 19:52:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"('survive',)",,,,,,,,,,,,,,,,,,,,
721321004274814976,2611151319,Seattle Post,2016-04-16 12:55:00,0.0,(),0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721546863866851328,2630842499,San Diego Daily,2016-04-17 03:52:00,,,0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,2.0,"('retail', 'sale')",,,2.0,"('close', 'sport')",,,,,,,,,,,,,,,,,,,,,,,,,,,,
720599000000000000,2601235821,Pittsburgh Today,2016-04-14 13:05:00,,,0.0,(),0.0,(),0.0,(),,,,,1.0,"('style',)",,,,,,,,,,,,,,,1.0,"('sport',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
720937253657124864,2630842499,San Diego Daily,2016-04-15 11:30:00,0.0,(),0.0,(),0.0,(),0.0,(),,,2.0,"('clinton', 'politics')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719498613324324864,3074563039,St. Louis Online,2016-04-11 12:13:00,,,0.0,(),,,,,,,,,,,,,,,,,1.0,"('report',)",1.0,"('stock',)",,,,,1.0,"('sport',)",,,,,,,,,1.0,"('stock',)",,,,,,,,,,,,,,,,,,
721642809288077312,2587843805,KansasCityDailyNews,2016-04-17 10:13:00,0.0,(),0.0,(),1.0,"('sea',)",0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721736859747885056,2928870434,Newspeak Daily,2016-04-17 16:27:00,0.0,(),0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719973082069270528,2630842499,San Diego Daily,2016-04-12 19:38:00,,,0.0,(),0.0,(),,,,,2.0,"('clinton', 'politics')",,,,,,,,,1.0,"('mayor',)",,,,,1.0,"('comedy',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721443327699062784,2587843805,KansasCityDailyNews,2016-04-16 21:01:00,,,0.0,(),,,,,,,1.0,"('obama',)",,,,,,,,,,,,,1.0,"('drive',)",,,1.0,"('court',)",,,,,,,,,,,1.0,"('immigration',)",,,,,,,,,,,,,,,,
