tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Entertainment,Entertainment_keywords,Politics,Politics_keywords,Economy,Economy_keywords,Business,Business_keywords,City Hall types stories,City Hall types stories_keywords,Lifestyle,Lifestyle_keywords,Health,Health_keywords,Education,Education_keywords,Sports,Sports_keywords,Courthouse types stories,Courthouse types stories_keywords,Obituaries,Obituaries_keywords,Terrorism,Terrorism_keywords,State House types stories,State House types stories_keywords,Religion,Religion_keywords,2nd Amendment,2nd Amendment_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Russian Sphere,Russian Sphere_keywords,Science,Science_keywords,Technology,Technology_keywords,Race,Race_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Stock Exchange,Stock Exchange_keywords,Abortion,Abortion_keywords
696603884165332992,2530830345,New Orleans Online,2016-02-08 07:58:00,0.0,(),0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697231000000000000,2630842499,San Diego Daily,2016-02-10 01:28:00,0.0,(),,,,,,,,,1.0,"('business',)",1.0,"('delegate',)",1.0,"('business',)",1.0,"('business',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696710294882504704,2601235821,Pittsburgh Today,2016-02-08 15:00:00,0.0,(),0.0,(),0.0,(),0.0,(),,,1.0,"('award',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696582010651824128,2494112058,San Jose Daily,2016-02-08 06:31:00,1.0,"('traffic',)",0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697604000000000000,3071479646,Baltimore Online,2016-02-11 02:10:00,0.0,(),0.0,(),0.0,(),1.0,"('custody',)",,,,,,,,,1.0,"('bar',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697430206072492032,2587843805,KansasCityDailyNews,2016-02-10 14:41:00,0.0,(),0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697109686391181312,2611151319,Seattle Post,2016-02-09 17:27:00,0.0,(),0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698010000000000000,2601235821,Pittsburgh Today,2016-02-12 05:06:00,0.0,(),0.0,(),0.0,(),1.0,"('accuse',)",,,,,,,,,,,1.0,"('mayor',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698974027168112640,2753211010,Phoenix Daily News,2016-02-14 20:56:00,0.0,(),0.0,(),0.0,(),,,,,1.0,"('celebrity',)",,,,,,,,,1.0,"('style',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698196994037125120,2601235821,Pittsburgh Today,2016-02-12 17:28:00,0.0,(),2.0,"('cold', 'temperature')",0.0,(),0.0,(),,,,,,,,,,,,,,,1.0,"('health',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697468316525293568,2530830345,New Orleans Online,2016-02-10 17:12:00,0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,1.0,"('question',)",,,,,1.0,"('freshman',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697601000000000000,3071479646,Baltimore Online,2016-02-11 02:00:00,0.0,(),0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697704000000000000,2743327187,Washington Online,2016-02-11 08:48:00,,,,,,,,,,,1.0,"('business',)",1.0,"('pas',)",1.0,"('business',)",1.0,"('business',)",1.0,"('budget',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696891443005124608,3074013672,Oakland Online,2016-02-09 03:00:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,1.0,"('sport',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698024329271861248,2495567768,San Francisco Daily,2016-02-12 06:02:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,2.0,"('obama', 'politics')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697620496486047744,2601235821,Pittsburgh Today,2016-02-11 03:17:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,1.0,"('politics',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698835637663760384,2630842499,San Diego Daily,2016-02-14 11:46:00,0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,1.0,"('court',)",1.0,"('justice',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698584178258882560,2743327187,Washington Online,2016-02-13 19:07:00,0.0,(),0.0,(),0.0,(),,,1.0,"('thing',)",,,,,,,,,,,,,1.0,"('health',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696867000000000000,2530830345,New Orleans Online,2016-02-09 01:22:00,0.0,(),,,,,,,,,1.0,"('espn',)",1.0,"('political',)",1.0,"('job',)",,,,,,,,,,,1.0,"('sport',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698345605505024000,3074013672,Oakland Online,2016-02-13 03:19:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,1.0,"('sport',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696763763693780992,3074013672,Oakland Online,2016-02-08 18:33:00,0.0,(),0.0,(),,,,,,,2.0,"('business', 'wait')",,,1.0,"('business',)",1.0,"('business',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696484342403457024,2495567768,San Francisco Daily,2016-02-08 00:03:00,0.0,(),0.0,(),,,,,1.0,"('final',)",,,1.0,"('politics',)",,,,,,,,,,,,,1.0,"('final',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698749331713576960,2495567768,San Francisco Daily,2016-02-14 06:03:00,0.0,(),0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697934410000150528,2743327187,Washington Online,2016-02-12 00:05:00,0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,1.0,"('mourn',)",1.0,"('shoot',)",,,,,,,,,,,,,,,,,,,,,,,,,,
698538631472947200,2495567768,San Francisco Daily,2016-02-13 16:06:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,1.0,"('bomb',)",,,,,,,,,,,,,,,,,,,,,,,,,,
698317736921821184,3074013672,Oakland Online,2016-02-13 01:28:00,0.0,(),0.0,(),,,,,,,1.0,"('business',)",,,1.0,"('business',)",1.0,"('business',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698050886690451456,2630842499,San Diego Daily,2016-02-12 07:47:00,0.0,(),0.0,(),,,,,,,1.0,"('business',)",,,1.0,"('business',)",1.0,"('business',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698215889884180480,3071479646,Baltimore Online,2016-02-12 18:43:00,0.0,(),0.0,(),0.0,(),,,,,,,1.0,"('politics',)",,,,,,,,,,,,,1.0,"('run',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696894211971362816,2601235821,Pittsburgh Today,2016-02-09 03:11:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,1.0,"('shoot',)",,,,,,,,,,,,,,,,,,,,,,,,,,
696711922620588032,2743327187,Washington Online,2016-02-08 15:07:00,0.0,(),0.0,(),,,,,,,,,2.0,"('clinton', 'politics')",,,,,,,,,,,,,,,1.0,"('appeal',)",,,,,1.0,"('appeal',)",,,,,,,,,,,,,,,,,,,,,,,,
698610484182851584,2611151319,Seattle Post,2016-02-13 20:51:00,0.0,(),0.0,(),0.0,(),1.0,"('robbery',)",0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697088585829199872,2601235821,Pittsburgh Today,2016-02-09 16:04:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,1.0,"('sport',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697147534750326784,2530830345,New Orleans Online,2016-02-09 19:58:00,0.0,(),1.0,"('air',)",0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696561254844870656,3071479646,Baltimore Online,2016-02-08 05:08:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,1.0,"('sport',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698752017573916672,2743327187,Washington Online,2016-02-14 06:13:00,0.0,(),0.0,(),,,,,,,1.0,"('business',)",,,1.0,"('business',)",1.0,"('business',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698652321333444608,2587843805,KansasCityDailyNews,2016-02-13 23:37:00,0.0,(),0.0,(),0.0,(),,,1.0,"('thing',)",,,,,,,,,1.0,"('mayor',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697553000000000000,2530830345,New Orleans Online,2016-02-10 22:47:00,1.0,"('traffic',)",0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697186000000000000,2591847731,Boston Today,2016-02-09 22:31:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,1.0,"('health',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698286012842151936,3074013672,Oakland Online,2016-02-12 23:22:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,1.0,"('sport',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698290618900938752,2495567768,San Francisco Daily,2016-02-12 23:40:00,0.0,(),0.0,(),,,,,,,,,1.0,"('politics',)",1.0,"('money',)",,,,,,,,,1.0,"('test',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697407356162838528,2530830345,New Orleans Online,2016-02-10 13:10:00,0.0,(),0.0,(),0.0,(),0.0,(),,,1.0,"('broadway',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697295861370327040,3074013672,Oakland Online,2016-02-10 05:47:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,2.0,"('basketball', 'sport')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697450000000000000,2601235821,Pittsburgh Today,2016-02-10 15:59:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,1.0,"('facebook',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697571217574735872,3071479646,Baltimore Online,2016-02-11 00:01:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,1.0,"('politics',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697055280111050752,2530830345,New Orleans Online,2016-02-09 13:51:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,1.0,"('veteran',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697989116365963264,2601235821,Pittsburgh Today,2016-02-12 03:42:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,1.0,"('shoot',)",,,,,,,,,,,,,,,,,,,,,,,,,,
697579483327410176,2587474264,Minneapolis Online,2016-02-11 00:34:00,0.0,(),0.0,(),,,,,,,,,,,,,,,1.0,"('request',)",,,,,,,,,1.0,"('judge',)",,,,,,,1.0,"('islamic',)",,,,,,,,,,,,,,,,,,,,,,
697428505366126592,2601235821,Pittsburgh Today,2016-02-10 14:34:00,0.0,(),2.0,"('weather', 'winter')",1.0,"('weather',)",0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698626986076295168,2495567768,San Francisco Daily,2016-02-13 21:57:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,1.0,"('clinton',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696510568744681472,2591847731,Boston Today,2016-02-08 01:47:00,0.0,(),0.0,(),0.0,(),,,,,1.0,"('game',)",,,1.0,"('money',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698932431886266368,2587843805,KansasCityDailyNews,2016-02-14 18:10:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,2.0,"('obama', 'politics')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
