tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Travel,Travel_keywords,Terrorism,Terrorism_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Education,Education_keywords,Health,Health_keywords,Sports,Sports_keywords,Lifestyle,Lifestyle_keywords,Politics,Politics_keywords,Economy,Economy_keywords,Entertainment,Entertainment_keywords,Religion,Religion_keywords,Stock Exchange,Stock Exchange_keywords,Courthouse types stories,Courthouse types stories_keywords,City Hall types stories,City Hall types stories_keywords,Business,Business_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,2nd Amendment,2nd Amendment_keywords,Russian Sphere,Russian Sphere_keywords,Immigration,Immigration_keywords,Race,Race_keywords,State House types stories,State House types stories_keywords,Abortion,Abortion_keywords,Science,Science_keywords,Technology,Technology_keywords
811644000000000000,2495567768,San Francisco Daily,2016-12-21 18:48:00,1.0,"('passenger',)",1.0,"('passenger',)",1.0,"('shoot',)",0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811969604851527680,2753146444,Cleveland Online,2016-12-22 16:20:00,1.0,"('truck',)",,,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811732151641194496,2752677905,New York City Today,2016-12-22 00:36:00,0.0,(),,,,,0.0,(),0.0,(),1.0,"('police',)",0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812266079770841088,2620614029,Philadelphia Online,2016-12-23 11:58:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810959242278666240,3071479646,Baltimore Online,2016-12-19 21:25:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811332712002949120,2753338899,San Antonio Top News,2016-12-20 22:09:00,0.0,(),,,,,0.0,(),0.0,(),,,,,1.0,"('professor',)",1.0,"('drug',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810828323098161152,2753146444,Cleveland Online,2016-12-19 12:45:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811887625636286464,2628066159,Houston Top News,2016-12-22 10:54:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812432628393660416,3074563039,St. Louis Online,2016-12-23 23:00:00,0.0,(),,,,,0.0,(),0.0,(),2.0,"('crime', 'pardon')",,,,,1.0,"('drug',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811768569633579008,2628066159,Houston Top News,2016-12-22 03:01:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),,,,,,,1.0,"('league',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
