tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450827902757580805,14923012,The Anniston Star,Wed Oct 20 14:15:01 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450793932028317698,14923012,The Anniston Star,Wed Oct 20 12:00:02 +0000 2021,1,"('hold',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('process',)",0,(),0,(),0,(),0,(),0,(),0,(),1,"('airport',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450778831913201668,14923012,The Anniston Star,Wed Oct 20 11:00:02 +0000 2021,0,(),0,(),0,(),0,(),1,"('expo',)",0,(),1,"('business',)",0,(),0,(),0,(),0,(),0,(),1,"('chamber',)",1,"('business',)",1,"('business',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450763735275130883,14923012,The Anniston Star,Wed Oct 20 10:00:03 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('football', 'sport')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450598142374727692,14923012,The Anniston Star,Tue Oct 19 23:02:02 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('process',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450595370220851204,14923012,The Anniston Star,Tue Oct 19 22:51:01 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('game',)",2,"('football', 'kickoff')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450589080547467272,14923012,The Anniston Star,Tue Oct 19 22:26:02 +0000 2021,1,"('race',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('freshman', 'senior')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('white',)",0,(),0,()
1450465515135291400,14923012,The Anniston Star,Tue Oct 19 14:15:01 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('school', 'senior')",1,"('pas',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450427767179337729,14923012,The Anniston Star,Tue Oct 19 11:45:01 +0000 2021,0,(),0,(),0,(),0,(),1,"('halloween',)",1,"('park',)",0,(),0,(),1,"('department',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('park',)",2,"('park', 'recreation')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450422733322530817,14923012,The Anniston Star,Tue Oct 19 11:25:01 +0000 2021,0,(),1,"('inch',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('drug', 'medication')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450224680380604419,14923012,The Anniston Star,Mon Oct 18 22:18:02 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450214363101548546,14923012,The Anniston Star,Mon Oct 18 21:37:02 +0000 2021,0,(),0,(),0,(),1,"('police',)",0,(),0,(),0,(),1,"('run',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('presbyterian',)",0,()
1450174094968819714,14923012,The Anniston Star,Mon Oct 18 18:57:01 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('award',)",1,"('volleyball',)",1,"('senior',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450169314624086024,14923012,The Anniston Star,Mon Oct 18 18:38:02 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('stakeholder',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450166043566092288,14923012,The Anniston Star,Mon Oct 18 18:25:02 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450103128620249095,14923012,The Anniston Star,Mon Oct 18 14:15:02 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('grade', 'school')",0,(),1,"('report',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449891752920469504,14923012,The Anniston Star,Mon Oct 18 00:15:06 +0000 2021,0,(),0,(),0,(),0,(),1,"('halloween',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('death',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449872900463415296,14923012,The Anniston Star,Sun Oct 17 23:00:11 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('test',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),3,"('blood', 'cholesterol', 'weight')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449850225074610180,14923012,The Anniston Star,Sun Oct 17 21:30:05 +0000 2021,0,(),0,(),0,(),0,(),1,"('july',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('black', 'white')",3,"('church', 'methodist', 'pastor')",0,()
1449825817962369032,14923012,The Anniston Star,Sun Oct 17 19:53:06 +0000 2021,0,(),0,(),0,(),0,(),1,"('open',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449825817962369032,14923012,The Anniston Star,Sun Oct 17 19:53:06 +0000 2021,0,(),0,(),0,(),0,(),1,"('open',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449797392199475202,14923012,The Anniston Star,Sun Oct 17 18:00:08 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('vacation',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('vacation',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449772952979922951,14923012,The Anniston Star,Sun Oct 17 16:23:02 +0000 2021,0,(),0,(),0,(),0,(),1,"('thing',)",0,(),0,(),0,(),2,"('school', 'teach')",0,(),1,"('report',)",0,(),0,(),0,(),0,(),0,(),0,(),1,"('research',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449767179486904323,14923012,The Anniston Star,Sun Oct 17 16:00:05 +0000 2021,0,(),0,(),0,(),1,"('murder',)",0,(),2,"('book', 'club')",0,(),0,(),0,(),1,"('squad',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449756597086048257,14923012,The Anniston Star,Sun Oct 17 15:18:02 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('veteran',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('chemical',)",0,(),1,"('lodge',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449752121591664644,14923012,The Anniston Star,Sun Oct 17 15:00:15 +0000 2021,0,(),0,(),0,(),0,(),1,"('ticket',)",0,(),0,(),0,(),1,"('pre',)",0,(),0,(),0,(),0,(),0,(),1,"('drive',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('church', 'episcopal')",0,()
1449751812400107523,14923012,The Anniston Star,Sun Oct 17 14:59:01 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('natural',)",0,(),0,(),1,"('program',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('museum',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449691740378644483,14923012,The Anniston Star,Sun Oct 17 11:00:19 +0000 2021,0,(),0,(),0,(),0,(),1,"('series',)",0,(),2,"('movie', 'series')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('movie',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('pastor',)",0,()
