tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450898081654972425,173865180,Arkansas Times,Wed Oct 20 18:53:53 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('attorney', 'settlement')",0,(),0,(),0,(),1,"('sex',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450675154808418306,173865180,Arkansas Times,Wed Oct 20 04:08:03 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('director',)",0,(),0,(),0,(),0,(),0,(),2,"('lawsuit', 'settlement')",0,(),0,(),0,(),1,"('death',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('shoot',)",0,(),0,(),0,()
1450551491064967174,173865180,Arkansas Times,Tue Oct 19 19:56:40 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('court',)",2,"('student', 'university')",0,(),0,(),1,"('legislature',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450530710507380742,173865180,Arkansas Times,Tue Oct 19 18:34:05 +0000 2021,0,(),0,(),0,(),1,"('want',)",0,(),0,(),1,"('director',)",0,(),1,"('learn',)",2,"('government', 'pas')",2,"('mayor', 'ordinance')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450236423207071744,173865180,Arkansas Times,Mon Oct 18 23:04:42 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('election',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450192591471923215,173865180,Arkansas Times,Mon Oct 18 20:10:31 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('director',)",0,(),0,(),0,(),1,"('mayor',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449777998039818240,173865180,Arkansas Times,Sun Oct 17 16:43:04 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('lawsuit',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('christian',)",0,()
1448780790591115276,173865180,Arkansas Times,Thu Oct 14 22:40:32 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('director',)",1,"('run',)",0,(),1,"('election',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448723902302203906,173865180,Arkansas Times,Thu Oct 14 18:54:28 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('court',)",0,(),0,(),0,(),0,(),3,"('attorney', 'evidence', 'judge')",0,(),0,(),0,(),1,"('sexual',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448723758223659013,173865180,Arkansas Times,Thu Oct 14 18:53:54 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('school', 'student')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('shoot',)",0,(),0,(),0,()
1448669508168732672,173865180,Arkansas Times,Thu Oct 14 15:18:20 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('bar', 'restaurant')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448664514514325505,173865180,Arkansas Times,Thu Oct 14 14:58:29 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('money',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
