tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450972626453778439,25354366,AR Democrat-Gazette,Wed Oct 20 23:50:06 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('basketball',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('cancer',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450972626453778439,25354366,AR Democrat-Gazette,Wed Oct 20 23:50:06 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('basketball',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('cancer',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450965079340498945,25354366,AR Democrat-Gazette,Wed Oct 20 23:20:07 +0000 2021,0,(),0,(),0,(),0,(),1,"('july',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),3,"('covid', 'hospital', 'patient')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450957522874032128,25354366,AR Democrat-Gazette,Wed Oct 20 22:50:05 +0000 2021,0,(),0,(),1,"('control',)",0,(),0,(),0,(),0,(),0,(),0,(),5,"('democrat', 'election', 'gop', 'pas', 'voting')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450949976335519752,25354366,AR Democrat-Gazette,Wed Oct 20 22:20:06 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('american',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),3,"('covid', 'moderna', 'vaccine')",1,"('moderna',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450942422662459392,25354366,AR Democrat-Gazette,Wed Oct 20 21:50:05 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('netflix',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('matter',)",0,(),0,(),1,"('netflix',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450934871032016901,25354366,AR Democrat-Gazette,Wed Oct 20 21:20:04 +0000 2021,0,(),0,(),0,(),1,"('penalty',)",0,(),1,"('design',)",0,(),0,(),0,(),1,"('republican',)",0,(),0,(),0,(),1,"('worker',)",0,(),0,(),2,"('covid', 'health')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450927335532793859,25354366,AR Democrat-Gazette,Wed Oct 20 20:50:08 +0000 2021,0,(),0,(),0,(),2,"('murder', 'police')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('capital',)",0,(),1,"('body',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('shoot',)",0,(),0,(),0,()
1450919776436592646,25354366,AR Democrat-Gazette,Wed Oct 20 20:20:06 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('park',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('park',)",1,"('park',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450912227255627779,25354366,AR Democrat-Gazette,Wed Oct 20 19:50:06 +0000 2021,2,"('bus', 'rush')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('capital',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('bomb',)",0,(),0,(),1,"('syria',)"
1450904678359830529,25354366,AR Democrat-Gazette,Wed Oct 20 19:20:06 +0000 2021,0,(),0,(),0,(),1,"('police',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('shoot',)",0,(),0,(),0,()
1450897129271070723,25354366,AR Democrat-Gazette,Wed Oct 20 18:50:06 +0000 2021,0,(),1,"('climate',)",0,(),0,(),0,(),0,(),0,(),1,"('tackle',)",0,(),1,"('biden',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450889586876502023,25354366,AR Democrat-Gazette,Wed Oct 20 18:20:08 +0000 2021,0,(),0,(),0,(),1,"('law',)",0,(),2,"('park', 'trip')",0,(),0,(),0,(),0,(),0,(),0,(),3,"('attorney', 'law', 'lawyer')",0,(),0,(),0,(),0,(),0,(),0,(),1,"('park',)",1,"('park',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450882006758436873,25354366,AR Democrat-Gazette,Wed Oct 20 17:50:01 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('income', 'tax')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450878757481422849,25354366,AR Democrat-Gazette,Wed Oct 20 17:37:06 +0000 2021,0,(),0,(),0,(),1,"('accuse',)",0,(),0,(),0,(),1,"('court',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450871205800644620,25354366,AR Democrat-Gazette,Wed Oct 20 17:07:06 +0000 2021,0,(),0,(),0,(),1,"('law',)",0,(),0,(),0,(),0,(),2,"('school', 'university')",0,(),0,(),0,(),1,"('law',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450863652773498884,25354366,AR Democrat-Gazette,Wed Oct 20 16:37:05 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('club',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450855856061489163,25354366,AR Democrat-Gazette,Wed Oct 20 16:06:06 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),3,"('football', 'forward', 'wolf')",0,(),0,(),0,(),0,(),0,(),1,"('bond',)",0,(),1,"('bond',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450855096888307714,25354366,AR Democrat-Gazette,Wed Oct 20 16:03:05 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('election', 'vote')",1,"('audit',)",0,(),0,(),1,"('corruption',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450847444997218315,25354366,AR Democrat-Gazette,Wed Oct 20 15:32:40 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450844283553128454,25354366,AR Democrat-Gazette,Wed Oct 20 15:20:07 +0000 2021,1,"('hold',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),3,"('congress', 'trump', 'vote')",0,(),0,(),2,"('subpoena', 'testimony')",0,(),0,(),0,(),0,(),1,"('measure',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('white',)",0,(),0,()
1450844283553128454,25354366,AR Democrat-Gazette,Wed Oct 20 15:20:07 +0000 2021,1,"('hold',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),3,"('congress', 'trump', 'vote')",0,(),0,(),2,"('subpoena', 'testimony')",0,(),0,(),0,(),0,(),1,"('measure',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('white',)",0,(),0,()
1450836730383327237,25354366,AR Democrat-Gazette,Wed Oct 20 14:50:06 +0000 2021,0,(),0,(),0,(),1,"('murder',)",0,(),0,(),0,(),0,(),1,"('school',)",0,(),0,(),0,(),1,"('jury',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450829181902888962,25354366,AR Democrat-Gazette,Wed Oct 20 14:20:06 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('biden', 'democrat')",1,"('budget',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('white',)",0,(),0,()
1450821629471305728,25354366,AR Democrat-Gazette,Wed Oct 20 13:50:06 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('income', 'tax')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450814078545547267,25354366,AR Democrat-Gazette,Wed Oct 20 13:20:05 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('school',)",0,(),1,"('authorization',)",0,(),0,(),0,(),1,"('pfizer',)",0,(),2,"('covid', 'pfizer')",2,"('matter', 'pfizer')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450806511924617216,25354366,AR Democrat-Gazette,Wed Oct 20 12:50:01 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('income', 'tax')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
