tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450931537780826119,892819558880464896,"Birmingham, AL Patch",Wed Oct 20 21:06:50 +0000 2021,0,(),0,(),0,(),1,"('crime',)",1,"('open',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('body',)",0,(),1,"('technology',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450904737461809158,892819558880464896,"Birmingham, AL Patch",Wed Oct 20 19:20:20 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('program',)",1,"('vote',)",0,(),0,(),0,(),1,"('income',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450881720283193349,892819558880464896,"Birmingham, AL Patch",Wed Oct 20 17:48:52 +0000 2021,1,"('car',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('shoot',)",0,(),0,(),0,()
1450866434192678922,892819558880464896,"Birmingham, AL Patch",Wed Oct 20 16:48:08 +0000 2021,0,(),0,(),0,(),0,(),1,"('tournament',)",1,"('read',)",1,"('business',)",3,"('golf', 'post', 'tournament')",0,(),0,(),0,(),0,(),0,(),1,"('business',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450590440470851588,892819558880464896,"Birmingham, AL Patch",Tue Oct 19 22:31:26 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('judge',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450575086021484544,892819558880464896,"Birmingham, AL Patch",Tue Oct 19 21:30:25 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('american', 'conference')",2,"('school', 'university')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450571257615953922,892819558880464896,"Birmingham, AL Patch",Tue Oct 19 21:15:12 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('park',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('sale',)",0,(),0,(),0,(),0,(),1,"('park',)",1,"('park',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450548254731558915,892819558880464896,"Birmingham, AL Patch",Tue Oct 19 19:43:48 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('college', 'school')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450544435813568514,892819558880464896,"Birmingham, AL Patch",Tue Oct 19 19:28:37 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450506120515276803,892819558880464896,"Birmingham, AL Patch",Tue Oct 19 16:56:22 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('happiness',)",0,(),1,"('base',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('health',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
