tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450878622093430795,3161438497,TheBirminghamTimes,Wed Oct 20 17:36:34 +0000 2021,1,"('bus',)",0,(),0,(),0,(),0,(),0,(),1,"('nbc',)",1,"('oakland',)",2,"('school', 'teach')",0,(),1,"('report',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450878262058655753,3161438497,TheBirminghamTimes,Wed Oct 20 17:35:08 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('bar',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450878249307869186,3161438497,TheBirminghamTimes,Wed Oct 20 17:35:05 +0000 2021,0,(),0,(),0,(),2,"('crime', 'police')",1,"('open',)",0,(),0,(),0,(),1,"('department',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450854425774415879,3161438497,TheBirminghamTimes,Wed Oct 20 16:00:25 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450852814234787843,3161438497,TheBirminghamTimes,Wed Oct 20 15:54:01 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('teach',)",0,(),0,(),0,(),0,(),2,"('finance', 'money')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450849327560208386,3161438497,TheBirminghamTimes,Wed Oct 20 15:40:09 +0000 2021,0,(),0,(),0,(),2,"('crime', 'police')",1,"('open',)",0,(),0,(),0,(),0,(),0,(),1,"('mayor',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450820526990102528,3161438497,TheBirminghamTimes,Wed Oct 20 13:45:43 +0000 2021,0,(),0,(),0,(),0,(),1,"('final',)",0,(),0,(),1,"('final',)",0,(),0,(),1,"('mayor',)",0,(),0,(),1,"('income',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450820464247549952,3161438497,TheBirminghamTimes,Wed Oct 20 13:45:28 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('football',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450820464247549952,3161438497,TheBirminghamTimes,Wed Oct 20 13:45:28 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('football',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450800542150799366,3161438497,TheBirminghamTimes,Wed Oct 20 12:26:18 +0000 2021,0,(),0,(),0,(),2,"('crime', 'police')",1,"('open',)",0,(),0,(),0,(),1,"('department',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450799141085384710,3161438497,TheBirminghamTimes,Wed Oct 20 12:20:44 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('bar',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450604848198688769,3161438497,TheBirminghamTimes,Tue Oct 19 23:28:41 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450604812534435840,3161438497,TheBirminghamTimes,Tue Oct 19 23:28:32 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450604787653910530,3161438497,TheBirminghamTimes,Tue Oct 19 23:28:26 +0000 2021,0,(),0,(),0,(),0,(),1,"('art',)",1,"('art',)",0,(),0,(),1,"('learn',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('diversity',)",0,(),0,()
1450547867098271752,3161438497,TheBirminghamTimes,Tue Oct 19 19:42:16 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450547368626167822,3161438497,TheBirminghamTimes,Tue Oct 19 19:40:17 +0000 2021,0,(),0,(),0,(),1,"('crime',)",0,(),0,(),0,(),0,(),1,"('department',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450540007425548290,3161438497,TheBirminghamTimes,Tue Oct 19 19:11:02 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('court',)",0,(),0,(),2,"('petition', 'request')",0,(),1,"('judge',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450539745168199680,3161438497,TheBirminghamTimes,Tue Oct 19 19:09:59 +0000 2021,0,(),0,(),0,(),0,(),1,"('thing',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('breast', 'cancer')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450539628507942921,3161438497,TheBirminghamTimes,Tue Oct 19 19:09:31 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('book',)",1,"('award',)",1,"('american',)",2,"('professor', 'university')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450539496349577217,3161438497,TheBirminghamTimes,Tue Oct 19 19:09:00 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('food',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450539415768637445,3161438497,TheBirminghamTimes,Tue Oct 19 19:08:41 +0000 2021,0,(),0,(),0,(),0,(),1,"('series',)",0,(),2,"('netflix', 'series')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('netflix',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450539353395060743,3161438497,TheBirminghamTimes,Tue Oct 19 19:08:26 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('golf',)",1,"('sophomore',)",0,(),0,(),0,(),0,(),2,"('credit', 'union')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
