tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450550739454111744,233474545,The Cullman Tribune,Tue Oct 19 19:53:40 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('director',)",0,(),0,(),0,(),1,"('commission',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450515610421575687,233474545,The Cullman Tribune,Tue Oct 19 17:34:05 +0000 2021,0,(),1,"('air',)",0,(),1,"('offense',)",1,"('playoff',)",0,(),1,"('business',)",7,"('coach', 'football', 'halftime', 'playoff', 'quarterback', 'sport', 'touchdown')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450457928675250182,233474545,The Cullman Tribune,Tue Oct 19 13:44:53 +0000 2021,0,(),0,(),0,(),2,"('defendant', 'murder')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('jury',)",0,(),0,(),0,(),2,"('body', 'death')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('shoot',)",0,(),0,(),0,()
1450457273642496006,233474545,The Cullman Tribune,Tue Oct 19 13:42:16 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('mayor',)",0,(),0,(),0,(),0,(),0,(),1,"('death',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450439137824235522,233474545,The Cullman Tribune,Tue Oct 19 12:30:12 +0000 2021,0,(),1,"('weather',)",1,"('weather',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450294073739419649,233474545,The Cullman Tribune,Tue Oct 19 02:53:46 +0000 2021,0,(),2,"('cold', 'spring')",0,(),0,(),0,(),0,(),1,"('performance',)",3,"('ball', 'defensive', 'football')",1,"('school',)",0,(),1,"('roll',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450226227281805313,233474545,The Cullman Tribune,Mon Oct 18 22:24:11 +0000 2021,0,(),0,(),0,(),0,(),1,"('open',)",1,"('park',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('ceo',)",0,(),3,"('health', 'healthcare', 'medical')",0,(),0,(),1,"('park',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450198956495998976,233474545,The Cullman Tribune,Mon Oct 18 20:35:49 +0000 2021,0,(),0,(),0,(),3,"('arrest', 'innocent', 'violence')",0,(),0,(),0,(),1,"('run',)",1,"('school',)",0,(),1,"('report',)",0,(),1,"('jury',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450148261151576066,233474545,The Cullman Tribune,Mon Oct 18 17:14:22 +0000 2021,0,(),0,(),0,(),1,"('want',)",2,"('event', 'series')",0,(),1,"('series',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('holiday',)",0,()
1449872724935991296,233474545,The Cullman Tribune,Sun Oct 17 22:59:29 +0000 2021,0,(),1,"('spring',)",0,(),0,(),1,"('festival',)",2,"('book', 'festival')",1,"('festival',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449745607011274762,233474545,The Cullman Tribune,Sun Oct 17 14:34:22 +0000 2021,0,(),0,(),0,(),1,"('bind',)",0,(),1,"('club',)",0,(),1,"('bound',)",1,"('school',)",2,"('demonstration', 'secretary')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449745429508263941,233474545,The Cullman Tribune,Sun Oct 17 14:33:40 +0000 2021,0,(),0,(),0,(),1,"('party',)",2,"('art', 'party')",2,"('art', 'party')",0,(),1,"('american',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('museum',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449351968669962242,233474545,The Cullman Tribune,Sat Oct 16 12:30:11 +0000 2021,0,(),1,"('weather',)",1,"('weather',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449344758380367872,233474545,The Cullman Tribune,Sat Oct 16 12:01:32 +0000 2021,0,(),0,(),0,(),0,(),3,"('event', 'festival', 'halloween')",2,"('entertainment', 'festival')",2,"('entertainment', 'festival')",0,(),0,(),0,(),1,"('request',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449239729568878593,233474545,The Cullman Tribune,Sat Oct 16 05:04:11 +0000 2021,0,(),1,"('tornado',)",1,"('tornado',)",0,(),1,"('contest',)",0,(),0,(),1,"('football',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
