tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450763747925037056,57720546,The Daily Home,Wed Oct 20 10:00:06 +0000 2021,1,"('total',)",0,(),0,(),0,(),0,(),0,(),0,(),2,"('football', 'sport')",1,"('school',)",1,"('vote',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450667344272007168,57720546,The Daily Home,Wed Oct 20 03:37:01 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450664338126213122,57720546,The Daily Home,Wed Oct 20 03:25:04 +0000 2021,0,(),1,"('tornado',)",1,"('tornado',)",0,(),1,"('open',)",0,(),0,(),1,"('championship',)",3,"('college', 'program', 'sophomore')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450659542786846724,57720546,The Daily Home,Wed Oct 20 03:06:01 +0000 2021,0,(),0,(),0,(),0,(),1,"('tournament',)",0,(),0,(),2,"('tournament', 'volleyball')",1,"('school',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450655656403472390,57720546,The Daily Home,Wed Oct 20 02:50:35 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),3,"('education', 'school', 'student')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450598143414910989,57720546,The Daily Home,Tue Oct 19 23:02:02 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('process',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450595371269431300,57720546,The Daily Home,Tue Oct 19 22:51:01 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('game',)",2,"('football', 'kickoff')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450580543507156992,57720546,The Daily Home,Tue Oct 19 21:52:06 +0000 2021,0,(),0,(),0,(),2,"('offense', 'police')",0,(),0,(),0,(),0,(),0,(),0,(),1,"('report',)",0,(),0,(),0,(),1,"('ford',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450575007357280256,57720546,The Daily Home,Tue Oct 19 21:30:06 +0000 2021,3,"('car', 'collision', 'truck')",0,(),0,(),1,"('police',)",0,(),0,(),0,(),0,(),0,(),0,(),1,"('report',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450573253899165698,57720546,The Daily Home,Tue Oct 19 21:23:08 +0000 2021,2,"('traffic', 'vehicle')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450568723857920007,57720546,The Daily Home,Tue Oct 19 21:05:08 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),3,"('grade', 'school', 'student')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450568201335623688,57720546,The Daily Home,Tue Oct 19 21:03:04 +0000 2021,0,(),0,(),0,(),0,(),1,"('halloween',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('observe',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450567195793281027,57720546,The Daily Home,Tue Oct 19 20:59:04 +0000 2021,0,(),0,(),0,(),0,(),2,"('christmas', 'parade')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('chamber',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('christmas',)",0,()
1450563933547401220,57720546,The Daily Home,Tue Oct 19 20:46:06 +0000 2021,1,"('hold',)",0,(),0,(),0,(),1,"('festival',)",2,"('festival', 'park')",1,"('festival',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('park', 'recreation')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450532482676297735,57720546,The Daily Home,Tue Oct 19 18:41:08 +0000 2021,0,(),0,(),0,(),1,"('party',)",1,"('party',)",2,"('park', 'party')",0,(),0,(),0,(),1,"('republican',)",0,(),0,(),0,(),0,(),1,"('drive',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450527057503563784,57720546,The Daily Home,Tue Oct 19 18:19:34 +0000 2021,1,"('hold',)",0,(),0,(),0,(),0,(),0,(),2,"('award', 'business')",0,(),0,(),0,(),0,(),0,(),1,"('chamber',)",1,"('business',)",1,"('business',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450479876931301376,57720546,The Daily Home,Tue Oct 19 15:12:05 +0000 2021,0,(),0,(),0,(),0,(),1,"('event',)",2,"('park', 'peace')",0,(),1,"('veteran',)",0,(),0,(),0,(),0,(),1,"('chapter',)",0,(),0,(),0,(),0,(),0,(),0,(),1,"('park',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450416543427350529,57720546,The Daily Home,Tue Oct 19 11:00:26 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),2,"('documentary', 'pb')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450263714230329345,57720546,The Daily Home,Tue Oct 19 00:53:08 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450262690103013376,57720546,The Daily Home,Tue Oct 19 00:49:04 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450262690103013376,57720546,The Daily Home,Tue Oct 19 00:49:04 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450255909217767426,57720546,The Daily Home,Tue Oct 19 00:22:07 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('commission',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450252625912508425,57720546,The Daily Home,Tue Oct 19 00:09:05 +0000 2021,2,"('train', 'truck')",0,(),0,(),0,(),1,"('event',)",1,"('club',)",0,(),0,(),3,"('department', 'program', 'test')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('health',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450224681441714180,57720546,The Daily Home,Mon Oct 18 22:18:02 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450214364087296006,57720546,The Daily Home,Mon Oct 18 21:37:02 +0000 2021,0,(),0,(),0,(),1,"('police',)",0,(),0,(),0,(),1,"('run',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('presbyterian',)",0,()
1450194749726527508,57720546,The Daily Home,Mon Oct 18 20:19:06 +0000 2021,1,"('vehicle',)",0,(),0,(),0,(),2,"('festival', 'parade')",1,"('festival',)",2,"('business', 'festival')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('healthcare', 'nursing')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450181161691529217,57720546,The Daily Home,Mon Oct 18 19:25:06 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('park',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('park',)",1,"('park',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449691741548949511,57720546,The Daily Home,Sun Oct 17 11:00:19 +0000 2021,0,(),0,(),0,(),0,(),1,"('series',)",0,(),2,"('movie', 'series')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('movie',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('pastor',)",0,()
1449565838495952897,57720546,The Daily Home,Sun Oct 17 02:40:02 +0000 2021,0,(),1,"('tide',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449537905161035780,57720546,The Daily Home,Sun Oct 17 00:49:02 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),2,"('game', 'performance')",1,"('coach',)",1,"('grade',)",0,(),1,"('report',)",0,(),0,(),1,"('credit',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449518277261205507,57720546,The Daily Home,Sat Oct 16 23:31:02 +0000 2021,0,(),0,(),0,(),0,(),1,"('thing',)",1,"('trip',)",0,(),1,"('football',)",1,"('college',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449449342713090056,57720546,The Daily Home,Sat Oct 16 18:57:07 +0000 2021,1,"('hold',)",0,(),0,(),0,(),0,(),1,"('park',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('disease',)",0,(),0,(),1,"('park',)",1,"('park',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449446824444448768,57720546,The Daily Home,Sat Oct 16 18:47:07 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('college',)",1,"('election',)",0,(),0,(),2,"('jury', 'lawsuit')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449431221516345347,57720546,The Daily Home,Sat Oct 16 17:45:06 +0000 2021,2,"('car', 'hold')",0,(),0,(),0,(),4,"('event', 'festival', 'live', 'parade')",2,"('craft', 'festival')",1,"('festival',)",1,"('stadium',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449238191521808385,57720546,The Daily Home,Sat Oct 16 04:58:05 +0000 2021,0,(),0,(),1,"('control',)",0,(),1,"('playoff',)",0,(),1,"('performance',)",3,"('defensive', 'linebacker', 'playoff')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449237675886751748,57720546,The Daily Home,Sat Oct 16 04:56:02 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('business',)",2,"('football', 'halftime')",0,(),0,(),0,(),0,(),0,(),2,"('business', 'job')",1,"('business',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449206742190067713,57720546,The Daily Home,Sat Oct 16 02:53:06 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('football',)",1,"('school',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449205729953468416,57720546,The Daily Home,Sat Oct 16 02:49:05 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('football',)",1,"('school',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449182333819576324,57720546,The Daily Home,Sat Oct 16 01:16:07 +0000 2021,1,"('vehicle',)",0,(),0,(),3,"('felony', 'murder', 'police')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('felony',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('shoot',)",0,(),0,(),0,()
1449146092516478983,57720546,The Daily Home,Fri Oct 15 22:52:06 +0000 2021,0,(),0,(),0,(),2,"('arrest', 'indictment')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('sex',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449146092516478983,57720546,The Daily Home,Fri Oct 15 22:52:06 +0000 2021,0,(),0,(),0,(),2,"('arrest', 'indictment')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('sex',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449143824723419137,57720546,The Daily Home,Fri Oct 15 22:43:06 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('business',)",0,(),0,(),0,(),0,(),0,(),0,(),1,"('business',)",1,"('business',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449136036404150274,57720546,The Daily Home,Fri Oct 15 22:12:09 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449132498546565120,57720546,The Daily Home,Fri Oct 15 21:58:05 +0000 2021,0,(),0,(),0,(),0,(),1,"('christmas',)",0,(),1,"('business',)",0,(),0,(),0,(),0,(),0,(),0,(),1,"('business',)",3,"('business', 'cook', 'manager')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('christmas',)",0,()
1449131243803643904,57720546,The Daily Home,Fri Oct 15 21:53:06 +0000 2021,1,"('traffic',)",1,"('ice',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('ice',)",0,(),0,(),0,(),0,(),0,()
