tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450826924264148994,3137399497,Florence Reminder & Blade-Tribune,Wed Oct 20 14:11:08 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('school',)",0,(),1,"('budget',)",0,(),1,"('process',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450699601472802816,3137399497,Florence Reminder & Blade-Tribune,Wed Oct 20 05:45:12 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450603966232989704,3137399497,Florence Reminder & Blade-Tribune,Tue Oct 19 23:25:11 +0000 2021,0,(),0,(),0,(),0,(),1,"('event',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('museum',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450248365590159361,3137399497,Florence Reminder & Blade-Tribune,Mon Oct 18 23:52:09 +0000 2021,1,"('highway',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450187474186219528,3137399497,Florence Reminder & Blade-Tribune,Mon Oct 18 19:50:11 +0000 2021,0,(),1,"('thunder',)",0,(),1,"('party',)",1,"('party',)",1,"('party',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('measure',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450158793908707331,3137399497,Florence Reminder & Blade-Tribune,Mon Oct 18 17:56:13 +0000 2021,1,"('vehicle',)",1,"('thunder',)",0,(),0,(),1,"('festival',)",1,"('festival',)",1,"('festival',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449965288238239744,3137399497,Florence Reminder & Blade-Tribune,Mon Oct 18 05:07:18 +0000 2021,0,(),1,"('thunder',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('bar',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449927545818861571,3137399497,Florence Reminder & Blade-Tribune,Mon Oct 18 02:37:19 +0000 2021,0,(),1,"('thunder',)",0,(),0,(),3,"('event', 'festival', 'final')",2,"('camp', 'festival')",2,"('festival', 'perform')",1,"('final',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449880248112267264,3137399497,Florence Reminder & Blade-Tribune,Sun Oct 17 23:29:23 +0000 2021,0,(),1,"('thunder',)",0,(),0,(),1,"('final',)",0,(),1,"('perform',)",1,"('final',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('church',)",0,()
1449617238819053568,3137399497,Florence Reminder & Blade-Tribune,Sun Oct 17 06:04:16 +0000 2021,0,(),1,"('thunder',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('food',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
