tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450874230153699335,23921817,Glendale DailyPlanet,Wed Oct 20 17:19:07 +0000 2021,1,"('pedestrian',)",0,(),0,(),0,(),0,(),1,"('travel',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('travel',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450764404975235080,23921817,Glendale DailyPlanet,Wed Oct 20 10:02:42 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('facebook',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450739211150118914,23921817,Glendale DailyPlanet,Wed Oct 20 08:22:36 +0000 2021,0,(),0,(),0,(),0,(),1,"('event',)",0,(),0,(),1,"('american',)",1,"('department',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450659135985381384,23921817,Glendale DailyPlanet,Wed Oct 20 03:04:24 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('movie',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('movie',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450348559295868932,23921817,Glendale DailyPlanet,Tue Oct 19 06:30:17 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('academy',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450145878774214657,23921817,Glendale DailyPlanet,Mon Oct 18 17:04:54 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('secretary',)",0,(),0,(),0,(),0,(),0,(),0,(),1,"('death',)",0,(),0,(),0,(),0,(),1,"('remember',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450131442059472897,23921817,Glendale DailyPlanet,Mon Oct 18 16:07:32 +0000 2021,0,(),0,(),0,(),0,(),2,"('convention', 'exhibition')",0,(),2,"('business', 'exhibition')",0,(),0,(),0,(),0,(),0,(),0,(),1,"('business',)",1,"('business',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450130738725097485,23921817,Glendale DailyPlanet,Mon Oct 18 16:04:44 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('tackle',)",0,(),0,(),0,(),0,(),0,(),0,(),1,"('drive',)",0,(),2,"('obesity', 'protein')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450130222355869699,23921817,Glendale DailyPlanet,Mon Oct 18 16:02:41 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450011765677297679,23921817,Glendale DailyPlanet,Mon Oct 18 08:11:59 +0000 2021,0,(),2,"('inch', 'sea')",0,(),0,(),0,(),1,"('beach',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('steel',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
