tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450961327367888901,895310111694098434,Hoover Patch,Wed Oct 20 23:05:12 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('educator', 'school')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450953653381214213,895310111694098434,Hoover Patch,Wed Oct 20 22:34:43 +0000 2021,0,(),1,"('flood',)",1,"('flood',)",0,(),0,(),0,(),0,(),0,(),1,"('school',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450953653381214213,895310111694098434,Hoover Patch,Wed Oct 20 22:34:43 +0000 2021,0,(),1,"('flood',)",1,"('flood',)",0,(),0,(),0,(),0,(),0,(),1,"('school',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450930619773558791,895310111694098434,Hoover Patch,Wed Oct 20 21:03:11 +0000 2021,0,(),0,(),0,(),1,"('crime',)",1,"('open',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('body',)",0,(),1,"('technology',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450915321548886020,895310111694098434,Hoover Patch,Wed Oct 20 20:02:24 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('department',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450903790706692110,895310111694098434,Hoover Patch,Wed Oct 20 19:16:34 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('program',)",1,"('vote',)",0,(),0,(),0,(),1,"('income',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450884697903468550,895310111694098434,Hoover Patch,Wed Oct 20 18:00:42 +0000 2021,1,"('car',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('shoot',)",0,(),0,(),0,()
1450589274240339968,895310111694098434,Hoover Patch,Tue Oct 19 22:26:48 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('judge',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450577796909182977,895310111694098434,Hoover Patch,Tue Oct 19 21:41:11 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('american', 'conference')",2,"('school', 'university')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450550965917126663,895310111694098434,Hoover Patch,Tue Oct 19 19:54:34 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('college', 'school')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450512579256799239,895310111694098434,Hoover Patch,Tue Oct 19 17:22:02 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('gym',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('gym',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450504915617525760,895310111694098434,Hoover Patch,Tue Oct 19 16:51:35 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('happiness',)",0,(),1,"('base',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('health',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450171353672335367,895310111694098434,Hoover Patch,Mon Oct 18 18:46:08 +0000 2021,0,(),0,(),0,(),0,(),2,"('event', 'thing')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450171353634680838,895310111694098434,Hoover Patch,Mon Oct 18 18:46:08 +0000 2021,0,(),0,(),1,"('control',)",0,(),3,"('celebration', 'christmas', 'thanksgiving')",1,"('celebration',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),3,"('cdc', 'disease', 'prevention')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('christmas', 'holiday')",0,()
1450171351717879816,895310111694098434,Hoover Patch,Mon Oct 18 18:46:07 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450171351659126784,895310111694098434,Hoover Patch,Mon Oct 18 18:46:07 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450133030455099395,895310111694098434,Hoover Patch,Mon Oct 18 16:13:51 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('park',)",0,(),1,"('volleyball',)",1,"('school',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('park',)",1,"('park',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449945182275837953,895310111694098434,Hoover Patch,Mon Oct 18 03:47:24 +0000 2021,0,(),1,"('weather',)",1,"('weather',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449945180535197698,895310111694098434,Hoover Patch,Mon Oct 18 03:47:24 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('market',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449945180283580419,895310111694098434,Hoover Patch,Mon Oct 18 03:47:24 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('game',)",0,(),1,"('school',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449945178018652163,895310111694098434,Hoover Patch,Mon Oct 18 03:47:23 +0000 2021,2,"('collision', 'highway')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449945177817243648,895310111694098434,Hoover Patch,Mon Oct 18 03:47:23 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),4,"('college', 'scholarship', 'school', 'student')",0,(),0,(),0,(),0,(),1,"('dollar',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449945177817243648,895310111694098434,Hoover Patch,Mon Oct 18 03:47:23 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),4,"('college', 'scholarship', 'school', 'student')",0,(),0,(),0,(),0,(),1,"('dollar',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449650070773714944,895310111694098434,Hoover Patch,Sun Oct 17 08:14:44 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),4,"('campus', 'education', 'student', 'university')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449646234818461697,895310111694098434,Hoover Patch,Sun Oct 17 07:59:30 +0000 2021,0,(),0,(),0,(),1,"('crime',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449117214532112394,895310111694098434,Hoover Patch,Fri Oct 15 20:57:21 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
