tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450703092886949889,1030125988758339584,Montgomery Independent,Wed Oct 20 05:59:04 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('game',)",2,"('linebacker', 'star')",2,"('learn', 'school')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('star',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450346495882977280,1030125988758339584,Montgomery Independent,Tue Oct 19 06:22:05 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('game',)",3,"('defensive', 'stadium', 'star')",2,"('school', 'senior')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('star',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450259669566504963,1030125988758339584,Montgomery Independent,Tue Oct 19 00:37:04 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('representative',)",0,(),1,"('legislature',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450258923370463233,1030125988758339584,Montgomery Independent,Tue Oct 19 00:34:06 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('rate', 'unemployment')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450258923370463233,1030125988758339584,Montgomery Independent,Tue Oct 19 00:34:06 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('rate', 'unemployment')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449294810079285253,1030125988758339584,Montgomery Independent,Sat Oct 16 08:43:03 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('academy',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449271665721069568,1030125988758339584,Montgomery Independent,Sat Oct 16 07:11:05 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('football',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449253286410919936,1030125988758339584,Montgomery Independent,Sat Oct 16 05:58:03 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),3,"('champion', 'championship', 'touchdown')",1,"('academy',)",0,(),0,(),0,(),1,"('chamber',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449248084869926913,1030125988758339584,Montgomery Independent,Sat Oct 16 05:37:23 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('coach',)",1,"('academy',)",0,(),0,(),0,(),0,(),0,(),1,"('general',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449238740354883584,1030125988758339584,Montgomery Independent,Sat Oct 16 05:00:15 +0000 2021,0,(),0,(),0,(),1,"('prison',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448917323209916416,1030125988758339584,Montgomery Independent,Fri Oct 15 07:43:04 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('championship', 'volleyball')",2,"('academy', 'senior')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448891155429613618,1030125988758339584,Montgomery Independent,Fri Oct 15 05:59:05 +0000 2021,0,(),0,(),0,(),0,(),1,"('tournament',)",0,(),0,(),3,"('court', 'tournament', 'volleyball')",1,"('freshman',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448885110992953370,1030125988758339584,Montgomery Independent,Fri Oct 15 05:35:04 +0000 2021,0,(),0,(),0,(),0,(),1,"('tournament',)",0,(),0,(),2,"('tournament', 'volleyball')",1,"('academy',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('christian',)",0,()
1448878619959382017,1030125988758339584,Montgomery Independent,Fri Oct 15 05:09:16 +0000 2021,0,(),0,(),0,(),0,(),1,"('tournament',)",0,(),0,(),2,"('champion', 'tournament')",1,"('academy',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448876305412497409,1030125988758339584,Montgomery Independent,Fri Oct 15 05:00:04 +0000 2021,0,(),1,"('autumn',)",0,(),0,(),1,"('series',)",0,(),2,"('game', 'series')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448875053194567680,1030125988758339584,Montgomery Independent,Fri Oct 15 04:55:06 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('coach', 'volleyball')",1,"('level',)",1,"('squad',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448674056924958722,1030125988758339584,Montgomery Independent,Thu Oct 14 15:36:24 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('volleyball',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448662905784725506,1030125988758339584,Montgomery Independent,Thu Oct 14 14:52:06 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('senior',)",1,"('senator',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('remember',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448630684168462338,1030125988758339584,Montgomery Independent,Thu Oct 14 12:44:04 +0000 2021,0,(),0,(),0,(),0,(),1,"('final',)",0,(),0,(),2,"('close', 'final')",0,(),1,"('vote',)",1,"('commission',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('racist',)",0,(),0,()
