tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450631066918785024,24755505,Juneau Empire,Wed Oct 20 01:12:52 +0000 2021,0,(),1,"('sky',)",0,(),0,(),1,"('festival',)",1,"('festival',)",1,"('festival',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450606786193600514,24755505,Juneau Empire,Tue Oct 19 23:36:23 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('candidate', 'election')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450252863461019648,24755505,Juneau Empire,Tue Oct 19 00:10:01 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('program', 'school')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450252228028162050,24755505,Juneau Empire,Tue Oct 19 00:07:30 +0000 2021,1,"('vehicle',)",0,(),0,(),1,"('police',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450251720009961472,24755505,Juneau Empire,Tue Oct 19 00:05:29 +0000 2021,0,(),0,(),0,(),1,"('police',)",0,(),0,(),1,"('perform',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('body', 'medical')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('indian',)",0,(),0,()
1450156954609913867,24755505,Juneau Empire,Mon Oct 18 17:48:55 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('covid', 'pandemic')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449587918608216074,24755505,Juneau Empire,Sun Oct 17 04:07:46 +0000 2021,0,(),0,(),0,(),0,(),0,(),2,"('design', 'park')",1,"('award',)",0,(),0,(),0,(),1,"('mayor',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('park',)",1,"('park',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449587158914945025,24755505,Juneau Empire,Sun Oct 17 04:04:45 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('game',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449518055873253387,24755505,Juneau Empire,Sat Oct 16 23:30:09 +0000 2021,0,(),1,"('sky',)",1,"('wild',)",0,(),0,(),1,"('nature',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449487859396845573,24755505,Juneau Empire,Sat Oct 16 21:30:10 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('hunt',)",0,(),0,(),1,"('level',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('hunt',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
