tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450946951671959555,44515708,Lagniappe,Wed Oct 20 22:08:05 +0000 2021,0,(),0,(),1,"('control',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('report',)",1,"('act',)",2,"('lawsuit', 'settlement')",1,"('pay',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450945812549275654,44515708,Lagniappe,Wed Oct 20 22:03:33 +0000 2021,3,"('intersection', 'traffic', 'train')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('secretary',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('train',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450943065238159365,44515708,Lagniappe,Wed Oct 20 21:52:38 +0000 2021,0,(),0,(),0,(),1,"('law',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('law',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450943061933051909,44515708,Lagniappe,Wed Oct 20 21:52:37 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('stadium',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('shoot',)",0,(),0,(),0,()
1450912597440598016,44515708,Lagniappe,Wed Oct 20 19:51:34 +0000 2021,1,"('vehicle',)",0,(),0,(),1,"('police',)",0,(),0,(),0,(),2,"('screen', 'stadium')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('firearm',)",0,(),0,(),1,"('shoot',)",0,(),0,(),0,()
1450851593600094209,44515708,Lagniappe,Wed Oct 20 15:49:10 +0000 2021,0,(),0,(),0,(),3,"('arrest', 'law', 'police')",0,(),1,"('entertainment',)",1,"('entertainment',)",1,"('sport',)",2,"('degree', 'department')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450823578316857353,44515708,Lagniappe,Wed Oct 20 13:57:50 +0000 2021,0,(),0,(),1,"('control',)",2,"('law', 'want')",0,(),0,(),0,(),1,"('draft',)",0,(),0,(),2,"('amendment', 'ordinance')",0,(),2,"('attorney', 'law')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450528425559699459,44515708,Lagniappe,Tue Oct 19 18:25:00 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('vote',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450516651049463814,44515708,Lagniappe,Tue Oct 19 17:38:13 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('vote',)",0,(),0,(),1,"('process',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450515278916472840,44515708,Lagniappe,Tue Oct 19 17:32:46 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('game',)",2,"('close', 'football')",1,"('school',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
