tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450863412393791491,22528819,Maricopa Monitor,Wed Oct 20 16:36:07 +0000 2021,0,(),0,(),0,(),0,(),1,"('art',)",1,"('art',)",1,"('perform',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450491706684628997,22528819,Maricopa Monitor,Tue Oct 19 15:59:06 +0000 2021,0,(),0,(),1,"('wild',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450231776228610055,22528819,Maricopa Monitor,Mon Oct 18 22:46:14 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('movement',)",1,"('run',)",0,(),3,"('congress', 'election', 'republican')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450142688842502146,22528819,Maricopa Monitor,Mon Oct 18 16:52:14 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),5,"('graduate', 'school', 'science', 'student', 'teach')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449792095183675399,22528819,Maricopa Monitor,Sun Oct 17 17:39:05 +0000 2021,0,(),0,(),0,(),1,"('want',)",0,(),0,(),0,(),0,(),1,"('program',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449521825919258627,22528819,Maricopa Monitor,Sat Oct 16 23:45:08 +0000 2021,0,(),0,(),0,(),0,(),0,(),2,"('entertainment', 'relax')",1,"('entertainment',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('capital',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('indian',)",0,(),0,()
1449440031848943620,22528819,Maricopa Monitor,Sat Oct 16 18:20:07 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('ball',)",1,"('course',)",0,(),0,(),0,(),0,(),0,(),1,"('drive',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449408842488500231,22528819,Maricopa Monitor,Sat Oct 16 16:16:11 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('farm',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449279230370623488,22528819,Maricopa Monitor,Sat Oct 16 07:41:09 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('club',)",1,"('game',)",3,"('ball', 'champion', 'close')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449276214594650112,22528819,Maricopa Monitor,Sat Oct 16 07:29:10 +0000 2021,0,(),0,(),0,(),0,(),1,"('playoff',)",0,(),1,"('game',)",2,"('playoff', 'run')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449120161517248515,22528819,Maricopa Monitor,Fri Oct 15 21:09:04 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('tourist',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449009940824199174,22528819,Maricopa Monitor,Fri Oct 15 13:51:05 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('school',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448650594843987973,22528819,Maricopa Monitor,Thu Oct 14 14:03:11 +0000 2021,0,(),0,(),0,(),0,(),1,"('tournament',)",0,(),0,(),3,"('conference', 'football', 'tournament')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('matter',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
