tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450457809842229252,127656904,The Daily Citizen,Tue Oct 19 13:44:24 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('basketball',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450456876290875398,127656904,The Daily Citizen,Tue Oct 19 13:40:42 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('private',)",2,"('ordinance', 'request')",0,(),1,"('judge',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('white',)",0,(),0,()
1450317936925806595,127656904,The Daily Citizen,Tue Oct 19 04:28:36 +0000 2021,0,(),0,(),0,(),1,"('police',)",0,(),0,(),0,(),0,(),1,"('department',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('drug', 'medication')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450317754741952512,127656904,The Daily Citizen,Tue Oct 19 04:27:52 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),2,"('director', 'wait')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('white',)",0,(),0,()
1450317754741952512,127656904,The Daily Citizen,Tue Oct 19 04:27:52 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),2,"('director', 'wait')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('white',)",0,(),0,()
1450278696548544519,127656904,The Daily Citizen,Tue Oct 19 01:52:40 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('game',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450278507037220865,127656904,The Daily Citizen,Tue Oct 19 01:51:55 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450278256188526595,127656904,The Daily Citizen,Tue Oct 19 01:50:55 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),3,"('conference', 'run', 'stadium')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450277966672502785,127656904,The Daily Citizen,Tue Oct 19 01:49:46 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450208495022874625,127656904,The Daily Citizen,Mon Oct 18 21:13:43 +0000 2021,0,(),0,(),0,(),1,"('police',)",0,(),0,(),0,(),0,(),1,"('department',)",0,(),1,"('report',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449230676042129408,127656904,The Daily Citizen,Sat Oct 16 04:28:13 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('business',)",1,"('farm',)",0,(),0,(),0,(),0,(),0,(),2,"('business', 'credit')",1,"('business',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449230379924197379,127656904,The Daily Citizen,Sat Oct 16 04:27:02 +0000 2021,2,"('car', 'hold')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449230110536634370,127656904,The Daily Citizen,Sat Oct 16 04:25:58 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449229879212486656,127656904,The Daily Citizen,Sat Oct 16 04:25:03 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('golf',)",0,(),0,(),0,(),0,(),0,(),1,"('charity',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449229700484714497,127656904,The Daily Citizen,Sat Oct 16 04:24:20 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('conference',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449229451494105088,127656904,The Daily Citizen,Sat Oct 16 04:23:21 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),3,"('professor', 'science', 'university')",1,"('political',)",0,(),0,(),0,(),1,"('tax',)",1,"('sale',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449229255288795136,127656904,The Daily Citizen,Sat Oct 16 04:22:34 +0000 2021,0,(),0,(),0,(),3,"('burglary', 'parole', 'prison')",0,(),1,"('trail',)",0,(),0,(),0,(),0,(),0,(),0,(),2,"('parole', 'trail')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449229040452345858,127656904,The Daily Citizen,Sat Oct 16 04:21:43 +0000 2021,0,(),0,(),0,(),2,"('murder', 'probation')",0,(),0,(),0,(),1,"('court',)",0,(),0,(),0,(),0,(),2,"('circuit', 'probation')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('white',)",0,(),0,()
1449228789704273923,127656904,The Daily Citizen,Sat Oct 16 04:20:43 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('rate',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('white',)",0,(),0,()
1449228369090990080,127656904,The Daily Citizen,Sat Oct 16 04:19:03 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449209509075881996,127656904,The Daily Citizen,Sat Oct 16 03:04:06 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('travel',)",0,(),1,"('ncaa',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('travel',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
