tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450558742529990658,201579242,Texarkana Gazette,Tue Oct 19 20:25:28 +0000 2021,0,(),0,(),0,(),1,"('crime',)",0,(),0,(),0,(),3,"('court', 'spin', 'sport')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450501200986710021,201579242,Texarkana Gazette,Tue Oct 19 16:36:49 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450098938183364612,201579242,Texarkana Gazette,Mon Oct 18 13:58:23 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('peace',)",0,(),0,(),0,(),1,"('republican',)",0,(),0,(),0,(),0,(),0,(),0,(),2,"('complication', 'covid')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449140303429095425,201579242,Texarkana Gazette,Fri Oct 15 22:29:06 +0000 2021,0,(),0,(),0,(),1,"('want',)",2,"('contest', 'halloween')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449129204927406081,201579242,Texarkana Gazette,Fri Oct 15 21:45:00 +0000 2021,0,(),0,(),0,(),0,(),1,"('concert',)",0,(),2,"('concert', 'orchestra')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449117928062955525,201579242,Texarkana Gazette,Fri Oct 15 21:00:12 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('director',)",0,(),0,(),2,"('election', 'voting')",1,"('mayor',)",0,(),0,(),1,"('bond',)",1,"('general',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448763937214840834,201579242,Texarkana Gazette,Thu Oct 14 21:33:34 +0000 2021,0,(),0,(),0,(),2,"('accuse', 'murder')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('jury',)",0,(),0,(),0,(),1,"('death',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448747947672408064,201579242,Texarkana Gazette,Thu Oct 14 20:30:01 +0000 2021,1,"('hold',)",0,(),0,(),0,(),0,(),0,(),1,"('director',)",1,"('close',)",3,"('campus', 'college', 'faculty')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('health', 'nursing')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448729278045200389,201579242,Texarkana Gazette,Thu Oct 14 19:15:50 +0000 2021,0,(),0,(),0,(),3,"('accuse', 'law', 'offense')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('law',)",0,(),0,(),0,(),1,"('sexual',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448711051411922946,201579242,Texarkana Gazette,Thu Oct 14 18:03:25 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448706224451633162,201579242,Texarkana Gazette,Thu Oct 14 17:44:14 +0000 2021,0,(),0,(),0,(),2,"('police', 'prosecute')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('attorney', 'prosecute')",0,(),1,"('restaurant',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('shoot',)",0,(),0,(),0,()
1448695121961181195,201579242,Texarkana Gazette,Thu Oct 14 17:00:07 +0000 2021,0,(),0,(),0,(),1,"('crime',)",0,(),0,(),0,(),3,"('court', 'spin', 'sport')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448672489568186371,201579242,Texarkana Gazette,Thu Oct 14 15:30:11 +0000 2021,0,(),0,(),0,(),1,"('accuse',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('sexual',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448645196531572737,201579242,Texarkana Gazette,Thu Oct 14 13:41:44 +0000 2021,0,(),0,(),0,(),1,"('police',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('restaurant',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('shoot',)",0,(),0,(),0,()
1448645196531572737,201579242,Texarkana Gazette,Thu Oct 14 13:41:44 +0000 2021,0,(),0,(),0,(),1,"('police',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('restaurant',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('shoot',)",0,(),0,(),0,()
