tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450621544586227714,25020568,The Cullman Times,Wed Oct 20 00:35:02 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('base', 'post')",0,(),0,(),0,(),0,(),0,(),1,"('tax',)",0,(),0,(),0,(),1,"('data',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450621294890860545,25020568,The Cullman Times,Wed Oct 20 00:34:02 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),3,"('ceo', 'general', 'manager')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450546046510247939,25020568,The Cullman Times,Tue Oct 19 19:35:01 +0000 2021,0,(),1,"('frost',)",0,(),0,(),0,(),0,(),0,(),1,"('sport',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450401341646454785,25020568,The Cullman Times,Tue Oct 19 10:00:01 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('school',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450274758780719105,25020568,The Cullman Times,Tue Oct 19 01:37:01 +0000 2021,0,(),0,(),0,(),0,(),1,"('open',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('death',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450267965241311238,25020568,The Cullman Times,Tue Oct 19 01:10:02 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('college', 'program')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('medical',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450266957794746371,25020568,The Cullman Times,Tue Oct 19 01:06:02 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('park',)",1,"('director',)",0,(),0,(),0,(),1,"('resolution',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('park',)",1,"('park',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450266203621056513,25020568,The Cullman Times,Tue Oct 19 01:03:02 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('budget', 'clerk')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450215366664368138,25020568,The Cullman Times,Mon Oct 18 21:41:01 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('commission',)",0,(),0,(),0,(),1,"('sale',)",0,(),1,"('medical',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450197385271984130,25020568,The Cullman Times,Mon Oct 18 20:29:34 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
