tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450839421205585921,27949016,The Daily Courier,Wed Oct 20 15:00:47 +0000 2021,0,(),0,(),0,(),1,"('police',)",0,(),0,(),0,(),0,(),1,"('department',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450831720576598019,27949016,The Daily Courier,Wed Oct 20 14:30:11 +0000 2021,3,"('car', 'traffic', 'transportation')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('department', 'test')",0,(),0,(),0,(),0,(),1,"('stakeholder',)",1,"('drive',)",0,(),1,"('death',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450824386118885382,27949016,The Daily Courier,Wed Oct 20 14:01:03 +0000 2021,0,(),0,(),0,(),0,(),1,"('open',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450816614224572419,27949016,The Daily Courier,Wed Oct 20 13:30:10 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('american',)",6,"('educational', 'educator', 'school', 'student', 'teach', 'teacher')",0,(),0,(),0,(),1,"('chamber',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450809161051222027,27949016,The Daily Courier,Wed Oct 20 13:00:33 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('job',)",0,(),0,(),7,"('covid', 'health', 'hospital', 'medical', 'patient', 'vaccine', 'virus')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450477055125118986,27949016,The Daily Courier,Tue Oct 19 15:00:53 +0000 2021,0,(),0,(),0,(),2,"('bail', 'want')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('bail',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450469331469578240,27949016,The Daily Courier,Tue Oct 19 14:30:11 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('sport',)",2,"('college', 'program')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('bear',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450469331469578240,27949016,The Daily Courier,Tue Oct 19 14:30:11 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('sport',)",2,"('college', 'program')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('bear',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450454224928714756,27949016,The Daily Courier,Tue Oct 19 13:30:10 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('report',)",0,(),0,(),0,(),0,(),0,(),3,"('covid', 'health', 'vaccine')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450446761743601664,27949016,The Daily Courier,Tue Oct 19 13:00:30 +0000 2021,1,"('total',)",1,"('spring',)",0,(),0,(),0,(),0,(),0,(),0,(),2,"('school', 'student')",0,(),1,"('budget',)",0,(),0,(),1,"('money',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450211146439475207,27949016,The Daily Courier,Mon Oct 18 21:24:15 +0000 2021,0,(),0,(),1,"('control',)",1,"('police',)",0,(),0,(),0,(),1,"('post',)",1,"('course',)",0,(),1,"('report',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449752111118434312,27949016,The Daily Courier,Sun Oct 17 15:00:13 +0000 2021,0,(),0,(),0,(),0,(),1,"('thing',)",1,"('design',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449744521131171848,27949016,The Daily Courier,Sun Oct 17 14:30:03 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('budget', 'request')",0,(),2,"('attorney', 'process')",0,(),0,(),0,(),1,"('covid',)",1,"('matter',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449737030582288386,27949016,The Daily Courier,Sun Oct 17 14:00:17 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('budget',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449729419682123776,27949016,The Daily Courier,Sun Oct 17 13:30:02 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('department',)",0,(),0,(),0,(),0,(),1,"('job',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449721905053851650,27949016,The Daily Courier,Sun Oct 17 13:00:11 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('hilton',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449027439607353367,27949016,The Daily Courier,Fri Oct 15 15:00:37 +0000 2021,1,"('crosswalk',)",0,(),0,(),1,"('police',)",1,"('open',)",0,(),0,(),0,(),1,"('department',)",0,(),1,"('question',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449019775259226112,27949016,The Daily Courier,Fri Oct 15 14:30:10 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('american',)",0,(),0,(),2,"('authorization', 'report')",1,"('act',)",0,(),1,"('money',)",1,"('manager',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449012380978098183,27949016,The Daily Courier,Fri Oct 15 14:00:47 +0000 2021,0,(),0,(),0,(),1,"('want',)",0,(),0,(),0,(),0,(),0,(),3,"('republican', 'vote', 'voter')",0,(),1,"('legislature',)",2,"('attorney', 'judge')",2,"('income', 'tax')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449004667099361281,27949016,The Daily Courier,Fri Oct 15 13:30:08 +0000 2021,0,(),0,(),0,(),2,"('arrest', 'burglary')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('witness',)",1,"('dollar',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448997211103182864,27949016,The Daily Courier,Fri Oct 15 13:00:30 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('business',)",0,(),0,(),0,(),0,(),0,(),0,(),1,"('business',)",1,"('business',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('pastor',)",0,()
1448665074168745984,27949016,The Daily Courier,Thu Oct 14 15:00:43 +0000 2021,3,"('collision', 'transport', 'vehicle')",0,(),0,(),1,"('police',)",0,(),0,(),0,(),1,"('close',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('ambulance', 'hospital')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448657393454239754,27949016,The Daily Courier,Thu Oct 14 14:30:12 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('school', 'teacher')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448650129733402632,27949016,The Daily Courier,Thu Oct 14 14:01:20 +0000 2021,1,"('vehicle',)",0,(),0,(),2,"('law', 'police')",1,"('july',)",0,(),0,(),0,(),1,"('department',)",0,(),1,"('report',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448642285114175491,27949016,The Daily Courier,Thu Oct 14 13:30:09 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('trail',)",0,(),0,(),0,(),0,(),0,(),0,(),1,"('trail',)",0,(),0,(),0,(),1,"('complication',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
