tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450944379796004867,264356119,The Sentinel-Record,Wed Oct 20 21:57:52 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450914745452691457,264356119,The Sentinel-Record,Wed Oct 20 20:00:06 +0000 2021,0,(),0,(),0,(),0,(),0,(),2,"('hotel', 'park')",2,"('business', 'director')",0,(),0,(),0,(),2,"('ordinance', 'question')",0,(),0,(),3,"('business', 'pay', 'tax')",0,(),0,(),0,(),0,(),0,(),2,"('hotel', 'park')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450884550557675521,264356119,The Sentinel-Record,Wed Oct 20 18:00:07 +0000 2021,0,(),1,"('spring',)",0,(),0,(),2,"('event', 'halloween')",1,"('park',)",0,(),1,"('close',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('park',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450854332321120265,264356119,The Sentinel-Record,Wed Oct 20 16:00:03 +0000 2021,0,(),0,(),0,(),3,"('arrest', 'felony', 'misdemeanor')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('felony', 'misdemeanor')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450836320029380614,264356119,The Sentinel-Record,Wed Oct 20 14:48:28 +0000 2021,1,"('race',)",1,"('spring',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450824154161295367,264356119,The Sentinel-Record,Wed Oct 20 14:00:08 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('close',)",1,"('school',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),3,"('covid', 'health', 'quarantine')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450795326697361416,264356119,The Sentinel-Record,Wed Oct 20 12:05:35 +0000 2021,0,(),0,(),0,(),0,(),1,"('event',)",0,(),0,(),0,(),1,"('school',)",1,"('vote',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450612795398148103,264356119,The Sentinel-Record,Wed Oct 20 00:00:16 +0000 2021,0,(),0,(),0,(),0,(),1,"('live',)",1,"('tea',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450582770762256392,264356119,The Sentinel-Record,Tue Oct 19 22:00:57 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450582535554142210,264356119,The Sentinel-Record,Tue Oct 19 22:00:01 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('fishing',)",0,(),2,"('championship', 'league')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('fishing',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450552372426678272,264356119,The Sentinel-Record,Tue Oct 19 20:00:10 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),3,"('covid', 'hospital', 'patient')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450522138989957129,264356119,The Sentinel-Record,Tue Oct 19 18:00:01 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('park',)",0,(),5,"('american', 'baseball', 'championship', 'conference', 'league')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('park',)",1,"('park',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
