tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450699577187872769,80747858,TimesDaily Newspaper,Wed Oct 20 05:45:06 +0000 2021,0,(),0,(),0,(),2,"('accuse', 'police')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('attorney',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('shoot',)",0,(),0,(),0,()
1450698308494757889,80747858,TimesDaily Newspaper,Wed Oct 20 05:40:04 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('school',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('covid',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450697061612015619,80747858,TimesDaily Newspaper,Wed Oct 20 05:35:06 +0000 2021,0,(),0,(),0,(),1,"('murder',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450697060148199434,80747858,TimesDaily Newspaper,Wed Oct 20 05:35:06 +0000 2021,0,(),0,(),0,(),1,"('police',)",0,(),0,(),0,(),0,(),1,"('department',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450695801752145924,80747858,TimesDaily Newspaper,Wed Oct 20 05:30:06 +0000 2021,0,(),1,"('tide',)",0,(),0,(),0,(),1,"('nature',)",1,"('game',)",2,"('football', 'quarterback')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450694543129649156,80747858,TimesDaily Newspaper,Wed Oct 20 05:25:06 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('director',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450694542966022147,80747858,TimesDaily Newspaper,Wed Oct 20 05:25:06 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('tourism',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('tourism',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450694541867196419,80747858,TimesDaily Newspaper,Wed Oct 20 05:25:06 +0000 2021,1,"('race',)",0,(),0,(),0,(),0,(),0,(),0,(),1,"('veteran',)",0,(),1,"('republican',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('black',)",0,(),0,()
1450693283169046535,80747858,TimesDaily Newspaper,Wed Oct 20 05:20:05 +0000 2021,0,(),0,(),0,(),1,"('want',)",0,(),0,(),1,"('business',)",0,(),0,(),0,(),0,(),0,(),0,(),1,"('business',)",1,"('business',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450692522498568197,80747858,TimesDaily Newspaper,Wed Oct 20 05:17:04 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('design',)",0,(),0,(),1,"('test',)",1,"('demonstration',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450692038874251272,80747858,TimesDaily Newspaper,Wed Oct 20 05:15:09 +0000 2021,1,"('hold',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),3,"('covid', 'infant', 'vaccine')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450692032897355777,80747858,TimesDaily Newspaper,Wed Oct 20 05:15:07 +0000 2021,0,(),0,(),0,(),4,"('accuse', 'arrest', 'law', 'riot')",0,(),0,(),0,(),1,"('court',)",0,(),0,(),0,(),0,(),1,"('law',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450692032897355777,80747858,TimesDaily Newspaper,Wed Oct 20 05:15:07 +0000 2021,0,(),0,(),0,(),4,"('accuse', 'arrest', 'law', 'riot')",0,(),0,(),0,(),1,"('court',)",0,(),0,(),0,(),0,(),1,"('law',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450692031404285958,80747858,TimesDaily Newspaper,Wed Oct 20 05:15:07 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450690811788730368,80747858,TimesDaily Newspaper,Wed Oct 20 05:10:16 +0000 2021,1,"('hold',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('trump', 'vote')",0,(),0,(),1,"('lawsuit',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450690775671529478,80747858,TimesDaily Newspaper,Wed Oct 20 05:10:08 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('performance',)",1,"('football',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450690048274444289,80747858,TimesDaily Newspaper,Wed Oct 20 05:07:14 +0000 2021,1,"('hold',)",0,(),0,(),0,(),0,(),0,(),0,(),1,"('base',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450690016271904770,80747858,TimesDaily Newspaper,Wed Oct 20 05:07:07 +0000 2021,0,(),0,(),0,(),1,"('want',)",0,(),0,(),0,(),2,"('post', 'veteran')",1,"('program',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('health',)",1,"('chemical',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450689596149444608,80747858,TimesDaily Newspaper,Wed Oct 20 05:05:26 +0000 2021,0,(),0,(),0,(),1,"('arson',)",1,"('july',)",0,(),0,(),0,(),1,"('major',)",0,(),1,"('report',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450337185505452035,80747858,TimesDaily Newspaper,Tue Oct 19 05:45:05 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('testimony', 'witness')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('gun',)",0,(),0,(),1,"('shoot',)",0,(),0,(),0,()
1450335928111751169,80747858,TimesDaily Newspaper,Tue Oct 19 05:40:05 +0000 2021,0,(),0,(),0,(),1,"('law',)",0,(),0,(),0,(),1,"('court',)",0,(),1,"('biden',)",0,(),0,(),1,"('law',)",0,(),0,(),0,(),1,"('abortion',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450334750200184832,80747858,TimesDaily Newspaper,Tue Oct 19 05:35:25 +0000 2021,0,(),0,(),0,(),1,"('want',)",1,"('series',)",1,"('trail',)",1,"('series',)",1,"('championship',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450334679320743936,80747858,TimesDaily Newspaper,Tue Oct 19 05:35:08 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('covid', 'vaccine')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450333513597788166,80747858,TimesDaily Newspaper,Tue Oct 19 05:30:30 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('camp',)",0,(),1,"('coach',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('camp',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('christian',)",0,()
1450333488276770816,80747858,TimesDaily Newspaper,Tue Oct 19 05:30:24 +0000 2021,1,"('race',)",0,(),0,(),0,(),1,"('fundraise',)",0,(),0,(),0,(),0,(),2,"('candidate', 'trump')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450333411286077442,80747858,TimesDaily Newspaper,Tue Oct 19 05:30:05 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('worker',)",2,"('drive', 'worker')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450333410401075202,80747858,TimesDaily Newspaper,Tue Oct 19 05:30:05 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('clerk',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450332195948797957,80747858,TimesDaily Newspaper,Tue Oct 19 05:25:16 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('american', 'base')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450332191309893636,80747858,TimesDaily Newspaper,Tue Oct 19 05:25:14 +0000 2021,1,"('vehicle',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('factory',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450330975796350978,80747858,TimesDaily Newspaper,Tue Oct 19 05:20:25 +0000 2021,1,"('race',)",0,(),0,(),0,(),2,"('nascar', 'playoff')",0,(),0,(),1,"('playoff',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450330939612086273,80747858,TimesDaily Newspaper,Tue Oct 19 05:20:16 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('pay',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450330938521554945,80747858,TimesDaily Newspaper,Tue Oct 19 05:20:16 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('vote',)",0,(),0,(),0,(),1,"('pay',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450330938521554945,80747858,TimesDaily Newspaper,Tue Oct 19 05:20:16 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('vote',)",0,(),0,(),0,(),1,"('pay',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450330896553463811,80747858,TimesDaily Newspaper,Tue Oct 19 05:20:06 +0000 2021,1,"('race',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('biden',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450330137220759556,80747858,TimesDaily Newspaper,Tue Oct 19 05:17:05 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('commission',)",0,(),0,(),0,(),1,"('sale',)",0,(),1,"('medical',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450329639646375938,80747858,TimesDaily Newspaper,Tue Oct 19 05:15:06 +0000 2021,4,"('intersection', 'pedestrian', 'traffic', 'vehicle')",0,(),0,(),0,(),0,(),0,(),1,"('perform',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450328412812369923,80747858,TimesDaily Newspaper,Tue Oct 19 05:10:14 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('biden',)",0,(),0,(),0,(),0,(),0,(),0,(),1,"('health',)",1,"('chemical',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450325951854923779,80747858,TimesDaily Newspaper,Tue Oct 19 05:00:27 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),3,"('campus', 'college', 'student')",0,(),0,(),0,(),0,(),1,"('money',)",0,(),0,(),1,"('pandemic',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450325876197953538,80747858,TimesDaily Newspaper,Tue Oct 19 05:00:09 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('peace',)",0,(),0,(),0,(),2,"('republican', 'secretary')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450325871802388482,80747858,TimesDaily Newspaper,Tue Oct 19 05:00:08 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('basketball',)",1,"('college',)",0,(),1,"('report',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('technology',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449973582096969734,80747858,TimesDaily Newspaper,Mon Oct 18 05:40:15 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('park',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('park',)",1,"('park',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449973549310136322,80747858,TimesDaily Newspaper,Mon Oct 18 05:40:08 +0000 2021,0,(),0,(),0,(),0,(),3,"('art', 'open', 'workshop')",1,"('art',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('fiber',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449972324476805121,80747858,TimesDaily Newspaper,Mon Oct 18 05:35:15 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449972324476805120,80747858,TimesDaily Newspaper,Mon Oct 18 05:35:15 +0000 2021,0,(),0,(),0,(),0,(),1,"('christmas',)",0,(),2,"('film', 'movie')",1,"('screen',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('movie',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('christmas',)",0,()
