tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450974385003765763,3952661,Arizona Daily Star,Wed Oct 20 23:57:05 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('coach',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450966581979275264,3952661,Arizona Daily Star,Wed Oct 20 23:26:05 +0000 2021,1,"('hold',)",0,(),0,(),1,"('law',)",0,(),0,(),0,(),0,(),0,(),0,(),1,"('request',)",0,(),2,"('attorney', 'law')",1,"('worker',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450960303198457856,3952661,Arizona Daily Star,Wed Oct 20 23:01:08 +0000 2021,0,(),0,(),0,(),0,(),1,"('ticket',)",0,(),0,(),1,"('star',)",1,"('college',)",0,(),0,(),0,(),0,(),1,"('pay',)",0,(),0,(),0,(),0,(),0,(),1,"('star',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450953997851021314,3952661,Arizona Daily Star,Wed Oct 20 22:36:05 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('pope',)",0,()
1450952747843563523,3952661,Arizona Daily Star,Wed Oct 20 22:31:07 +0000 2021,0,(),0,(),0,(),0,(),1,"('contest',)",0,(),1,"('game',)",2,"('football', 'star')",1,"('school',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('star',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450943927889154055,3952661,Arizona Daily Star,Wed Oct 20 21:56:04 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('football', 'halftime')",1,"('grade',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('matter',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450943927889154055,3952661,Arizona Daily Star,Wed Oct 20 21:56:04 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('football', 'halftime')",1,"('grade',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('matter',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450942672747782144,3952661,Arizona Daily Star,Wed Oct 20 21:51:05 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450938646702481408,3952661,Arizona Daily Star,Wed Oct 20 21:35:05 +0000 2021,1,"('total',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('energy',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450935124003115008,3952661,Arizona Daily Star,Wed Oct 20 21:21:05 +0000 2021,0,(),0,(),0,(),1,"('detective',)",0,(),1,"('travel',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('drive',)",0,(),1,"('trauma',)",0,(),0,(),1,"('travel',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450933864323555328,3952661,Arizona Daily Star,Wed Oct 20 21:16:04 +0000 2021,0,(),0,(),0,(),1,"('police',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('death',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('shoot',)",0,(),0,(),0,()
1450931408722006023,3952661,Arizona Daily Star,Wed Oct 20 21:06:19 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('american',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),3,"('covid', 'moderna', 'vaccine')",1,"('moderna',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450924812050780165,3952661,Arizona Daily Star,Wed Oct 20 20:40:06 +0000 2021,0,(),0,(),0,(),1,"('want',)",0,(),1,"('diet',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('food',)",0,(),1,"('diet',)",1,"('data',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
