tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450854912271831042,1606145106,Valley Times-News,Wed Oct 20 16:02:21 +0000 2021,2,"('highway', 'race')",0,(),0,(),0,(),2,"('rodeo', 'wrestling')",1,"('park',)",0,(),0,(),0,(),0,(),0,(),0,(),1,"('chamber',)",0,(),0,(),0,(),0,(),0,(),0,(),1,"('park',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450839800290975750,1606145106,Valley Times-News,Wed Oct 20 15:02:18 +0000 2021,0,(),2,"('mist', 'spring')",0,(),0,(),0,(),1,"('book',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('amazon',)",0,(),0,(),0,(),1,"('amazon',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450824413985873926,1606145106,Valley Times-News,Wed Oct 20 14:01:09 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),2,"('film', 'movie')",1,"('screen',)",1,"('major',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('movie',)",1,"('remember',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450809594910060545,1606145106,Valley Times-News,Wed Oct 20 13:02:16 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('representative',)",1,"('mayor',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450492535760109576,1606145106,Valley Times-News,Tue Oct 19 16:02:24 +0000 2021,0,(),0,(),0,(),0,(),1,"('halloween',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450484460365905926,1606145106,Valley Times-News,Tue Oct 19 15:30:18 +0000 2021,0,(),0,(),0,(),1,"('law',)",0,(),2,"('book', 'read')",0,(),0,(),1,"('senior',)",0,(),0,(),0,(),1,"('law',)",0,(),0,(),0,(),1,"('heart',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450477318233858049,1606145106,Valley Times-News,Tue Oct 19 15:01:55 +0000 2021,2,"('highway', 'intersection')",0,(),0,(),1,"('party',)",1,"('party',)",1,"('party',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('remember',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450469499447218188,1606145106,Valley Times-News,Tue Oct 19 14:30:51 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('major',)",0,(),0,(),0,(),1,"('chamber',)",0,(),0,(),0,(),1,"('covid',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('holiday',)",0,()
1450469499447218188,1606145106,Valley Times-News,Tue Oct 19 14:30:51 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('major',)",0,(),0,(),0,(),1,"('chamber',)",0,(),0,(),0,(),1,"('covid',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('holiday',)",0,()
1450462159780171781,1606145106,Valley Times-News,Tue Oct 19 14:01:41 +0000 2021,1,"('hold',)",0,(),0,(),0,(),0,(),1,"('design',)",0,(),0,(),2,"('academic', 'university')",0,(),0,(),0,(),0,(),1,"('employment',)",1,"('general',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450447208227221505,1606145106,Valley Times-News,Tue Oct 19 13:02:17 +0000 2021,0,(),0,(),0,(),0,(),1,"('open',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450133719608614912,1606145106,Valley Times-News,Mon Oct 18 16:16:35 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('shoot',)",0,(),0,(),0,()
1449405148393005059,1606145106,Valley Times-News,Sat Oct 16 16:01:30 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('chamber',)",0,(),2,"('food', 'restaurant')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('georgia',)"
1449389990681718785,1606145106,Valley Times-News,Sat Oct 16 15:01:16 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('white',)",2,"('baptist', 'church')",0,()
1449375182846627850,1606145106,Valley Times-News,Sat Oct 16 14:02:26 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('department',)",1,"('congress',)",1,"('report',)",0,(),0,(),1,"('bank',)",1,"('bank',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449360083025072134,1606145106,Valley Times-News,Sat Oct 16 13:02:26 +0000 2021,0,(),0,(),0,(),0,(),1,"('open',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('restaurant',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449214205257822209,1606145106,Valley Times-News,Sat Oct 16 03:22:46 +0000 2021,0,(),0,(),0,(),0,(),2,"('contest', 'series')",0,(),1,"('series',)",2,"('run', 'stadium')",1,"('senior',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
