tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450839450481840135,171282488,Verde Independent,Wed Oct 20 15:00:54 +0000 2021,0,(),0,(),0,(),1,"('want',)",0,(),0,(),0,(),1,"('veteran',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450824433459937283,171282488,Verde Independent,Wed Oct 20 14:01:14 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('camp',)",0,(),0,(),0,(),1,"('government',)",0,(),1,"('act',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('reservation',)",1,"('camp',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450824433459937283,171282488,Verde Independent,Wed Oct 20 14:01:14 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('camp',)",0,(),0,(),0,(),1,"('government',)",0,(),1,"('act',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('reservation',)",1,"('camp',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450809204843892746,171282488,Verde Independent,Wed Oct 20 13:00:43 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('veteran',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450612778625011714,171282488,Verde Independent,Wed Oct 20 00:00:12 +0000 2021,0,(),1,"('rain',)",0,(),0,(),1,"('fundraise',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450582587915837440,171282488,Verde Independent,Tue Oct 19 22:00:14 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),4,"('covid', 'health', 'pandemic', 'virus')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450564167769935881,171282488,Verde Independent,Tue Oct 19 20:47:02 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('school',)",2,"('election', 'vote')",1,"('budget',)",0,(),0,(),2,"('rate', 'tax')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450561398577184769,171282488,Verde Independent,Tue Oct 19 20:36:02 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('performance',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450506319149027329,171282488,Verde Independent,Tue Oct 19 16:57:10 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),3,"('complication', 'covid', 'death')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450279292835872770,171282488,Verde Independent,Tue Oct 19 01:55:02 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),3,"('ball', 'football', 'touchdown')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
