tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450964410025975813,15828025,Anchorage Daily News,Wed Oct 20 23:17:27 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('report',)",0,(),0,(),0,(),1,"('ceo',)",0,(),5,"('covid', 'death', 'hospital', 'nursing', 'virus')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450945185764962304,15828025,Anchorage Daily News,Wed Oct 20 22:01:04 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('school', 'teacher')",1,"('rally',)",0,(),0,(),0,(),2,"('pay', 'union')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450913699695403019,15828025,Anchorage Daily News,Wed Oct 20 19:55:57 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('coach', 'hockey')",2,"('program', 'university')",0,(),1,"('budget',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450913699695403019,15828025,Anchorage Daily News,Wed Oct 20 19:55:57 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('coach', 'hockey')",2,"('program', 'university')",0,(),1,"('budget',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450886146641256464,15828025,Anchorage Daily News,Wed Oct 20 18:06:28 +0000 2021,0,(),1,"('air',)",0,(),0,(),0,(),0,(),0,(),1,"('base',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('energy',)",1,"('technology',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450869098683019270,15828025,Anchorage Daily News,Wed Oct 20 16:58:43 +0000 2021,0,(),3,"('climate', 'sea', 'summer')",0,(),0,(),0,(),0,(),0,(),0,(),1,"('level',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450860811879124999,15828025,Anchorage Daily News,Wed Oct 20 16:25:47 +0000 2021,0,(),4,"('arctic', 'ice', 'sea', 'warm')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('ice',)",0,(),0,(),0,(),0,(),0,()
1450839030355144706,15828025,Anchorage Daily News,Wed Oct 20 14:59:14 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('rate', 'worker')",1,"('worker',)",0,(),3,"('covid', 'vaccination', 'vaccine')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('religious',)",0,()
1450815489324855305,15828025,Anchorage Daily News,Wed Oct 20 13:25:42 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('school',)",0,(),1,"('authorization',)",0,(),0,(),0,(),1,"('pfizer',)",0,(),2,"('covid', 'pfizer')",1,"('pfizer',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450814806294999042,15828025,Anchorage Daily News,Wed Oct 20 13:22:59 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('award',)",0,(),0,(),1,"('congress',)",1,"('commission',)",1,"('act',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
