tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450515887971241990,19350695,The Alexander City Outlook,Tue Oct 19 17:35:11 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('department',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('covid', 'vaccination')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449378900916805635,19350695,The Alexander City Outlook,Sat Oct 16 14:17:12 +0000 2021,0,(),1,"('ice',)",0,(),0,(),0,(),2,"('fishing', 'trip')",0,(),2,"('farm', 'veteran')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('lodge',)",1,"('fishing',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449369363803475971,19350695,The Alexander City Outlook,Sat Oct 16 13:39:18 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449243461962588162,19350695,The Alexander City Outlook,Sat Oct 16 05:19:01 +0000 2021,1,"('highway',)",0,(),0,(),0,(),0,(),1,"('travel',)",1,"('game',)",2,"('run', 'touchdown')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('travel',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449236671178985476,19350695,The Alexander City Outlook,Sat Oct 16 04:52:02 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('defensive', 'quarterback')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449235411348463616,19350695,The Alexander City Outlook,Sat Oct 16 04:47:02 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449231886560157698,19350695,The Alexander City Outlook,Sat Oct 16 04:33:01 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('game',)",2,"('coach', 'defensive')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448870003017670660,19350695,The Alexander City Outlook,Fri Oct 15 04:35:02 +0000 2021,0,(),0,(),0,(),0,(),1,"('final',)",1,"('fashion',)",0,(),1,"('final',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448673456745234441,19350695,The Alexander City Outlook,Thu Oct 14 15:34:01 +0000 2021,0,(),0,(),0,(),0,(),1,"('tournament',)",1,"('read',)",0,(),2,"('championship', 'tournament')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('short',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448645021960396802,19350695,The Alexander City Outlook,Thu Oct 14 13:41:02 +0000 2021,0,(),0,(),0,(),0,(),1,"('tournament',)",1,"('read',)",0,(),3,"('close', 'tournament', 'volleyball')",1,"('senior',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
