tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1449096535896100864,19343772,Clanton Advertiser,Fri Oct 15 19:35:11 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('trip',)",0,(),1,"('farm',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449064303986978821,19343772,Clanton Advertiser,Fri Oct 15 17:27:07 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('department',)",0,(),1,"('report',)",0,(),0,(),0,(),1,"('general',)",0,(),1,"('illness',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449064053507252233,19343772,Clanton Advertiser,Fri Oct 15 17:26:07 +0000 2021,1,"('highway',)",0,(),0,(),1,"('offense',)",0,(),0,(),0,(),0,(),1,"('degree',)",0,(),1,"('report',)",0,(),0,(),0,(),0,(),0,(),1,"('drug',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449063548928339972,19343772,Clanton Advertiser,Fri Oct 15 17:24:07 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449059516608307211,19343772,Clanton Advertiser,Fri Oct 15 17:08:05 +0000 2021,1,"('hold',)",0,(),0,(),0,(),2,"('playoff', 'tournament')",0,(),0,(),3,"('playoff', 'tournament', 'volleyball')",1,"('school',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449044949241114629,19343772,Clanton Advertiser,Fri Oct 15 16:10:12 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('award',)",0,(),0,(),0,(),0,(),0,(),3,"('attorney', 'circuit', 'judicial')",0,(),0,(),1,"('short',)",1,"('cancer',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449043159854587907,19343772,Clanton Advertiser,Fri Oct 15 16:03:05 +0000 2021,0,(),0,(),0,(),0,(),1,"('christmas',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('christmas',)",0,()
1449033334760382468,19343772,Clanton Advertiser,Fri Oct 15 15:24:03 +0000 2021,0,(),0,(),0,(),0,(),2,"('playoff', 'tournament')",0,(),0,(),2,"('playoff', 'tournament')",2,"('academy', 'school')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('christian',)",0,()
1449031069735456770,19343772,Clanton Advertiser,Fri Oct 15 15:15:03 +0000 2021,0,(),0,(),0,(),0,(),2,"('thing', 'tournament')",0,(),0,(),2,"('tournament', 'volleyball')",1,"('school',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448651424506650634,19343772,Clanton Advertiser,Thu Oct 14 14:06:28 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('ordinance',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
