tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1449576001739055105,167049677,Coolidge Examiner,Sun Oct 17 03:20:25 +0000 2021,0,(),1,"('thunder',)",0,(),0,(),0,(),1,"('dance',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('dance',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449549308894892032,167049677,Coolidge Examiner,Sun Oct 17 01:34:21 +0000 2021,0,(),1,"('thunder',)",0,(),0,(),0,(),0,(),0,(),1,"('sport',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('black', 'white')",0,(),0,()
1449522334772219914,167049677,Coolidge Examiner,Sat Oct 16 23:47:10 +0000 2021,0,(),0,(),0,(),0,(),1,"('festival',)",1,"('festival',)",1,"('festival',)",1,"('forward',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('pandemic',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449511562256003080,167049677,Coolidge Examiner,Sat Oct 16 23:04:21 +0000 2021,0,(),1,"('thunder',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449283504634740739,167049677,Coolidge Examiner,Sat Oct 16 07:58:08 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('game',)",0,(),0,(),1,"('rally',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('bear',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449199492411052037,167049677,Coolidge Examiner,Sat Oct 16 02:24:18 +0000 2021,0,(),1,"('thunder',)",0,(),1,"('want',)",1,"('festival',)",1,"('festival',)",1,"('festival',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449177078109179907,167049677,Coolidge Examiner,Sat Oct 16 00:55:14 +0000 2021,0,(),1,"('thunder',)",0,(),1,"('party',)",1,"('party',)",1,"('party',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449169541964181505,167049677,Coolidge Examiner,Sat Oct 16 00:25:17 +0000 2021,0,(),1,"('thunder',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448907352057565202,167049677,Coolidge Examiner,Fri Oct 15 07:03:26 +0000 2021,0,(),1,"('thunder',)",0,(),0,(),1,"('festival',)",3,"('fashion', 'festival', 'style')",1,"('festival',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448779736562507778,167049677,Coolidge Examiner,Thu Oct 14 22:36:20 +0000 2021,0,(),1,"('thunder',)",0,(),0,(),0,(),0,(),1,"('wait',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448669198310383619,167049677,Coolidge Examiner,Thu Oct 14 15:17:06 +0000 2021,4,"('transport', 'transportation', 'truck', 'vehicle')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('drive',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
