tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450922295070011399,17455392,The Decatur Daily,Wed Oct 20 20:30:06 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('school',)",1,"('vote',)",0,(),1,"('legislature',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450874973296418821,17455392,The Decatur Daily,Wed Oct 20 17:22:04 +0000 2021,0,(),0,(),0,(),1,"('murder',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),3,"('attorney', 'circuit', 'judge')",0,(),1,"('capital',)",0,(),1,"('illness',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450874972323332099,17455392,The Decatur Daily,Wed Oct 20 17:22:04 +0000 2021,1,"('bus',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('school', 'student')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450874972105318405,17455392,The Decatur Daily,Wed Oct 20 17:22:03 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('award',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450874971299979272,17455392,The Decatur Daily,Wed Oct 20 17:22:03 +0000 2021,0,(),0,(),0,(),0,(),1,"('parade',)",0,(),0,(),1,"('veteran',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450699567591219205,17455392,The Decatur Daily,Wed Oct 20 05:45:04 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('lawsuit', 'settlement')",1,"('pay',)",0,(),0,(),0,(),1,"('chemical',)",0,(),0,(),1,"('recreation',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450697061544910850,17455392,The Decatur Daily,Wed Oct 20 05:35:06 +0000 2021,0,(),0,(),0,(),1,"('want',)",0,(),0,(),1,"('business',)",0,(),0,(),0,(),0,(),0,(),1,"('lawsuit',)",1,"('business',)",1,"('business',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450695803694104578,17455392,The Decatur Daily,Wed Oct 20 05:30:06 +0000 2021,1,"('hold',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),4,"('covid', 'infant', 'pregnancy', 'vaccine')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450695802192601089,17455392,The Decatur Daily,Wed Oct 20 05:30:06 +0000 2021,0,(),0,(),0,(),0,(),1,"('contest',)",2,"('bicycle', 'cooking')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('cook',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('salvation',)",0,()
1450694543964352512,17455392,The Decatur Daily,Wed Oct 20 05:25:06 +0000 2021,0,(),1,"('tide',)",0,(),0,(),0,(),1,"('nature',)",1,"('game',)",2,"('football', 'quarterback')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
