tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450929638256123904,42947713,Franklin Co. Times,Wed Oct 20 20:59:17 +0000 2021,1,"('hold',)",0,(),0,(),0,(),1,"('thing',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450923563674910728,42947713,Franklin Co. Times,Wed Oct 20 20:35:09 +0000 2021,1,"('rush',)",2,"('air', 'rain')",0,(),0,(),0,(),0,(),0,(),3,"('championship', 'football', 'touchdown')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('indian',)",0,(),0,()
1450895702528339972,42947713,Franklin Co. Times,Wed Oct 20 18:44:26 +0000 2021,0,(),0,(),0,(),1,"('want',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('pay',)",0,(),0,(),1,"('physical',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450870741344325637,42947713,Franklin Co. Times,Wed Oct 20 17:05:15 +0000 2021,0,(),0,(),0,(),0,(),1,"('playoff',)",0,(),0,(),2,"('playoff', 'volleyball')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450855786524073988,42947713,Franklin Co. Times,Wed Oct 20 16:05:49 +0000 2021,1,"('hold',)",0,(),0,(),0,(),1,"('live',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450847778201128960,42947713,Franklin Co. Times,Wed Oct 20 15:34:00 +0000 2021,1,"('hold',)",0,(),0,(),0,(),0,(),0,(),1,"('business',)",0,(),1,"('department',)",0,(),3,"('cdbg', 'commission', 'resolution')",0,(),0,(),1,"('business',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450834602600304640,42947713,Franklin Co. Times,Wed Oct 20 14:41:39 +0000 2021,0,(),0,(),0,(),0,(),1,"('final',)",1,"('travel',)",1,"('game',)",5,"('championship', 'conference', 'final', 'football', 'touchdown')",2,"('program', 'school')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450597943048904707,42947713,Franklin Co. Times,Tue Oct 19 23:01:15 +0000 2021,2,"('car', 'hold')",0,(),0,(),0,(),3,"('art', 'live', 'open')",2,"('art', 'craft')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('food',)",0,(),0,(),0,(),0,(),0,(),1,"('museum',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450596903993974785,42947713,Franklin Co. Times,Tue Oct 19 22:57:07 +0000 2021,1,"('hold',)",0,(),0,(),0,(),1,"('event',)",0,(),0,(),0,(),3,"('college', 'education', 'school')",0,(),1,"('report',)",0,(),0,(),0,(),1,"('general',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450593713038708745,42947713,Franklin Co. Times,Tue Oct 19 22:44:26 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),4,"('admission', 'campus', 'college', 'student')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
