tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450886648330391557,24289998,Today's News Herald,Wed Oct 20 18:08:27 +0000 2021,1,"('vehicle',)",0,(),0,(),0,(),0,(),0,(),0,(),1,"('close',)",1,"('minor',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450606462531682306,24289998,Today's News Herald,Tue Oct 19 23:35:06 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450090312987299841,24289998,Today's News Herald,Mon Oct 18 13:24:06 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('republican',)",0,(),0,(),0,(),0,(),1,"('general',)",0,(),1,"('complication',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449854059628924929,24289998,Today's News Herald,Sun Oct 17 21:45:19 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('football', 'sport')",1,"('senior',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449838958985285633,24289998,Today's News Herald,Sun Oct 17 20:45:19 +0000 2021,1,"('hold',)",0,(),0,(),0,(),1,"('festival',)",2,"('festival', 'park')",1,"('festival',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('food',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449823859725721605,24289998,Today's News Herald,Sun Oct 17 19:45:19 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('park',)",1,"('perform',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('park',)",1,"('park',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449808760596275204,24289998,Today's News Herald,Sun Oct 17 18:45:19 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('teacher',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449793660653015045,24289998,Today's News Herald,Sun Oct 17 17:45:19 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('american', 'star')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('star',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449778562194673669,24289998,Today's News Herald,Sun Oct 17 16:45:19 +0000 2021,1,"('hold',)",0,(),0,(),0,(),2,"('event', 'fair')",1,"('park',)",0,(),1,"('ball',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('pandemic',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449763462318628869,24289998,Today's News Herald,Sun Oct 17 15:45:19 +0000 2021,1,"('race',)",0,(),0,(),0,(),0,(),0,(),0,(),1,"('championship',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
