tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450794697090293765,27217872,Enterprise Ledger,Wed Oct 20 12:03:04 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450583305603227656,27217872,Enterprise Ledger,Tue Oct 19 22:03:05 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('football', 'stadium')",2,"('freshman', 'school')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449828335555694599,27217872,Enterprise Ledger,Sun Oct 17 20:03:06 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449783540946767873,27217872,Enterprise Ledger,Sun Oct 17 17:05:06 +0000 2021,0,(),1,"('weather',)",1,"('weather',)",0,(),0,(),0,(),1,"('business',)",0,(),0,(),0,(),0,(),0,(),0,(),1,"('business',)",1,"('business',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449722637576462346,27217872,Enterprise Ledger,Sun Oct 17 13:03:05 +0000 2021,0,(),0,(),0,(),1,"('want',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449707539025760261,27217872,Enterprise Ledger,Sun Oct 17 12:03:06 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449699736286547970,27217872,Enterprise Ledger,Sun Oct 17 11:32:05 +0000 2021,0,(),0,(),0,(),1,"('party',)",2,"('celebration', 'party')",2,"('celebration', 'party')",0,(),1,"('american',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449390193937719306,27217872,Enterprise Ledger,Sat Oct 16 15:02:05 +0000 2021,0,(),0,(),0,(),0,(),2,"('event', 'festival')",1,"('festival',)",1,"('festival',)",1,"('veteran',)",0,(),0,(),0,(),0,(),0,(),2,"('credit', 'union')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449356220154920964,27217872,Enterprise Ledger,Sat Oct 16 12:47:05 +0000 2021,0,(),0,(),0,(),0,(),1,"('halloween',)",1,"('park',)",0,(),0,(),1,"('department',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('park',)",2,"('park', 'recreation')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449133753327042564,27217872,Enterprise Ledger,Fri Oct 15 22:03:05 +0000 2021,1,"('bus',)",0,(),0,(),0,(),0,(),1,"('trip',)",1,"('game',)",2,"('football', 'stadium')",1,"('school',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449125951355424771,27217872,Enterprise Ledger,Fri Oct 15 21:32:04 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('game',)",2,"('football', 'stadium')",1,"('school',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449110853803028483,27217872,Enterprise Ledger,Fri Oct 15 20:32:05 +0000 2021,1,"('vehicle',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('drive',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448998367305023523,27217872,Enterprise Ledger,Fri Oct 15 13:05:06 +0000 2021,0,(),0,(),0,(),0,(),1,"('final',)",0,(),1,"('game',)",2,"('final', 'football')",2,"('school', 'senior')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448983013614882821,27217872,Enterprise Ledger,Fri Oct 15 12:04:05 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448703166879608832,27217872,Enterprise Ledger,Thu Oct 14 17:32:05 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('natural',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('hospital',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
