tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450972377811230721,10433782,Mercury News,Wed Oct 20 23:49:07 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('jury',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450970640643764224,10433782,Mercury News,Wed Oct 20 23:42:13 +0000 2021,0,(),0,(),0,(),0,(),1,"('concert',)",0,(),1,"('concert',)",0,(),1,"('department',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450963856940019714,10433782,Mercury News,Wed Oct 20 23:15:15 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('oakland',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('remember',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450962879809785857,10433782,Mercury News,Wed Oct 20 23:11:22 +0000 2021,0,(),0,(),0,(),1,"('police',)",0,(),0,(),0,(),1,"('run',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450959904064348169,10433782,Mercury News,Wed Oct 20 22:59:33 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),3,"('covid', 'health', 'vaccination')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450958192268259330,10433782,Mercury News,Wed Oct 20 22:52:45 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('movie',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('blood',)",0,(),0,(),0,(),1,"('movie',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450957656357806085,10433782,Mercury News,Wed Oct 20 22:50:37 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450956515012141058,10433782,Mercury News,Wed Oct 20 22:46:05 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('wait',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450953118204796928,10433782,Mercury News,Wed Oct 20 22:32:35 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('moderna', 'vaccination')",1,"('moderna',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450946003993989128,10433782,Mercury News,Wed Oct 20 22:04:19 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('teacher',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('covid', 'pandemic')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450945731985035264,10433782,Mercury News,Wed Oct 20 22:03:14 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('nhl',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('smart',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450940108404781059,10433782,Mercury News,Wed Oct 20 21:40:53 +0000 2021,0,(),0,(),0,(),3,"('bail', 'felony', 'misdemeanor')",0,(),0,(),0,(),0,(),1,"('minor',)",0,(),0,(),0,(),4,"('bail', 'felony', 'judge', 'misdemeanor')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450936089007595521,10433782,Mercury News,Wed Oct 20 21:24:55 +0000 2021,0,(),0,(),0,(),4,"('bail', 'felony', 'misdemeanor', 'party')",1,"('party',)",1,"('party',)",0,(),0,(),0,(),0,(),0,(),0,(),4,"('bail', 'felony', 'judge', 'misdemeanor')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450934998756958211,10433782,Mercury News,Wed Oct 20 21:20:35 +0000 2021,0,(),0,(),0,(),0,(),3,"('art', 'event', 'live')",2,"('art', 'dance')",1,"('performance',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('dance',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450934396412964868,10433782,Mercury News,Wed Oct 20 21:18:11 +0000 2021,0,(),0,(),0,(),0,(),1,"('july',)",1,"('club',)",0,(),1,"('golf',)",0,(),1,"('trump',)",0,(),0,(),1,"('attorney',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450920831270461441,10433782,Mercury News,Wed Oct 20 20:24:17 +0000 2021,1,"('car',)",0,(),0,(),1,"('robbery',)",0,(),0,(),0,(),1,"('oakland',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450920247633096708,10433782,Mercury News,Wed Oct 20 20:21:58 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('government',)",0,(),0,(),0,(),0,(),0,(),0,(),2,"('covid', 'moderna')",1,"('moderna',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450915191261106188,10433782,Mercury News,Wed Oct 20 20:01:52 +0000 2021,0,(),2,"('climate', 'flood')",1,"('flood',)",1,"('bribery',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('drive',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450915191261106188,10433782,Mercury News,Wed Oct 20 20:01:52 +0000 2021,0,(),2,"('climate', 'flood')",1,"('flood',)",1,"('bribery',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('drive',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450913528899059718,10433782,Mercury News,Wed Oct 20 19:55:16 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
