tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450947967033221131,16555200,Fairbanks News-Miner,Wed Oct 20 22:12:07 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('game',)",0,(),1,"('test',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('survive',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450936135669239810,16555200,Fairbanks News-Miner,Wed Oct 20 21:25:06 +0000 2021,0,(),0,(),0,(),1,"('want',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('dividend', 'earnings')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450933872846323719,16555200,Fairbanks News-Miner,Wed Oct 20 21:16:06 +0000 2021,1,"('highway',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('measure',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450865672662261769,16555200,Fairbanks News-Miner,Wed Oct 20 16:45:06 +0000 2021,0,(),0,(),0,(),1,"('want',)",0,(),0,(),1,"('award',)",4,"('coach', 'conference', 'defensive', 'football')",1,"('major',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450858121988038661,16555200,Fairbanks News-Miner,Wed Oct 20 16:15:06 +0000 2021,0,(),1,"('air',)",0,(),0,(),0,(),0,(),0,(),1,"('base',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450848799958740995,16555200,Fairbanks News-Miner,Wed Oct 20 15:38:04 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('body',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450848048054145028,16555200,Fairbanks News-Miner,Wed Oct 20 15:35:04 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('certificate',)",0,(),1,"('report',)",0,(),0,(),0,(),0,(),0,(),2,"('covid', 'death')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450839292851462145,16555200,Fairbanks News-Miner,Wed Oct 20 15:00:17 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('rifle',)",0,(),0,(),0,(),0,(),0,(),0,()
1450839248077303812,16555200,Fairbanks News-Miner,Wed Oct 20 15:00:06 +0000 2021,0,(),1,"('sky',)",0,(),0,(),0,(),0,(),0,(),1,"('wnba',)",1,"('school',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450835472406691852,16555200,Fairbanks News-Miner,Wed Oct 20 14:45:06 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('game',)",3,"('basketball', 'court', 'hoop')",2,"('freshman', 'university')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450835472406691852,16555200,Fairbanks News-Miner,Wed Oct 20 14:45:06 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('game',)",3,"('basketball', 'court', 'hoop')",2,"('freshman', 'university')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
