tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450967573189824514,30012029,NWA Democrat-Gazette,Wed Oct 20 23:30:01 +0000 2021,1,"('highway',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('drive',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450960069206609921,30012029,NWA Democrat-Gazette,Wed Oct 20 23:00:12 +0000 2021,0,(),0,(),0,(),1,"('prosecutor',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('evidence', 'judge')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450952520986238981,30012029,NWA Democrat-Gazette,Wed Oct 20 22:30:13 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('trail',)",0,(),1,"('forward',)",0,(),0,(),0,(),0,(),1,"('trail',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450944969179598848,30012029,NWA Democrat-Gazette,Wed Oct 20 22:00:12 +0000 2021,0,(),0,(),0,(),0,(),1,"('contest',)",0,(),0,(),1,"('football',)",1,"('school',)",1,"('rally',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450937390491652102,30012029,NWA Democrat-Gazette,Wed Oct 20 21:30:05 +0000 2021,0,(),0,(),0,(),0,(),1,"('open',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('walmart',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450929866543620096,30012029,NWA Democrat-Gazette,Wed Oct 20 21:00:11 +0000 2021,1,"('rush',)",0,(),0,(),0,(),0,(),0,(),1,"('game',)",1,"('run',)",0,(),0,(),1,"('report',)",0,(),0,(),0,(),0,(),1,"('short',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450922312094601222,30012029,NWA Democrat-Gazette,Wed Oct 20 20:30:10 +0000 2021,0,(),0,(),0,(),0,(),1,"('july',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),3,"('covid', 'hospital', 'patient')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450914773206454288,30012029,NWA Democrat-Gazette,Wed Oct 20 20:00:13 +0000 2021,0,(),1,"('climate',)",0,(),0,(),0,(),0,(),0,(),1,"('tackle',)",0,(),1,"('biden',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450907218954625030,30012029,NWA Democrat-Gazette,Wed Oct 20 19:30:12 +0000 2021,0,(),0,(),0,(),1,"('want',)",0,(),1,"('peace',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('market',)",0,(),0,(),3,"('clinic', 'covid', 'vaccination')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450899681505071104,30012029,NWA Democrat-Gazette,Wed Oct 20 19:00:15 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('peace',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('pay',)",0,(),0,(),1,"('covid',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
