tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450960545956384773,16744446,Opelika-Auburn News,Wed Oct 20 23:02:06 +0000 2021,1,"('traffic',)",0,(),0,(),1,"('police',)",0,(),0,(),0,(),0,(),1,"('department',)",0,(),0,(),0,(),0,(),1,"('job',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('shoot',)",0,(),0,(),0,()
1450953755499929601,16744446,Opelika-Auburn News,Wed Oct 20 22:35:07 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('pope',)",0,()
1450946699560726531,16744446,Opelika-Auburn News,Wed Oct 20 22:07:05 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450942925836333061,16744446,Opelika-Auburn News,Wed Oct 20 21:52:05 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450938897991602177,16744446,Opelika-Auburn News,Wed Oct 20 21:36:05 +0000 2021,1,"('total',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('energy',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450935124409847818,16744446,Opelika-Auburn News,Wed Oct 20 21:21:05 +0000 2021,0,(),0,(),0,(),0,(),1,"('open',)",0,(),0,(),1,"('basketball',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450931387092119554,16744446,Opelika-Auburn News,Wed Oct 20 21:06:14 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('american',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),3,"('covid', 'moderna', 'vaccine')",1,"('moderna',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450931347980226563,16744446,Opelika-Auburn News,Wed Oct 20 21:06:05 +0000 2021,0,(),0,(),0,(),0,(),2,"('ticket', 'tournament')",0,(),0,(),2,"('tournament', 'volleyball')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450927573891002378,16744446,Opelika-Auburn News,Wed Oct 20 20:51:05 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('game',)",3,"('ball', 'quarterback', 'run')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450923295172354053,16744446,Opelika-Auburn News,Wed Oct 20 20:34:05 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),2,"('comedy', 'netflix')",0,(),0,(),1,"('protest',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('netflix',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450912975557177357,16744446,Opelika-Auburn News,Wed Oct 20 19:53:04 +0000 2021,0,(),0,(),0,(),2,"('fbi', 'police')",0,(),1,"('park',)",0,(),0,(),0,(),0,(),1,"('report',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('park',)",1,"('park',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450907942560182276,16744446,Opelika-Auburn News,Wed Oct 20 19:33:04 +0000 2021,0,(),0,(),0,(),0,(),1,"('event',)",0,(),0,(),0,(),0,(),0,(),1,"('roll',)",0,(),0,(),0,(),2,"('sale', 'walmart')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('black',)",0,(),0,()
1450907942560182276,16744446,Opelika-Auburn News,Wed Oct 20 19:33:04 +0000 2021,0,(),0,(),0,(),0,(),1,"('event',)",0,(),0,(),0,(),0,(),0,(),1,"('roll',)",0,(),0,(),0,(),2,"('sale', 'walmart')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('black',)",0,(),0,()
1450898139376988168,16744446,Opelika-Auburn News,Wed Oct 20 18:54:07 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('mayor',)",0,(),0,(),1,"('bank',)",3,"('bank', 'food', 'walmart')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450893376992301057,16744446,Opelika-Auburn News,Wed Oct 20 18:35:12 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('wait',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450876945638563841,16744446,Opelika-Auburn News,Wed Oct 20 17:29:54 +0000 2021,0,(),0,(),0,(),1,"('want',)",0,(),0,(),1,"('business',)",0,(),0,(),0,(),0,(),0,(),0,(),1,"('business',)",1,"('business',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450865172231254019,16744446,Opelika-Auburn News,Wed Oct 20 16:43:07 +0000 2021,1,"('traffic',)",0,(),0,(),0,(),0,(),0,(),0,(),1,"('conference',)",1,"('department',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('shoot',)",0,(),0,(),0,()
1450863153697411072,16744446,Opelika-Auburn News,Wed Oct 20 16:35:06 +0000 2021,0,(),0,(),0,(),1,"('police',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450859379201282055,16744446,Opelika-Auburn News,Wed Oct 20 16:20:06 +0000 2021,2,"('freeway', 'highway')",0,(),0,(),1,"('police',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450855603056881664,16744446,Opelika-Auburn News,Wed Oct 20 16:05:06 +0000 2021,0,(),0,(),0,(),0,(),1,"('live',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450851825045934083,16744446,Opelika-Auburn News,Wed Oct 20 15:50:05 +0000 2021,0,(),0,(),0,(),2,"('law', 'police')",0,(),1,"('read',)",0,(),0,(),0,(),0,(),1,"('report',)",0,(),1,"('law',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450847799088721924,16744446,Opelika-Auburn News,Wed Oct 20 15:34:05 +0000 2021,0,(),0,(),0,(),0,(),1,"('live',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('bear',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450832757442162693,16744446,Opelika-Auburn News,Wed Oct 20 14:34:19 +0000 2021,0,(),0,(),0,(),1,"('murder',)",0,(),0,(),0,(),0,(),1,"('school',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450832697451024385,16744446,Opelika-Auburn News,Wed Oct 20 14:34:04 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('test',)",0,(),0,(),0,(),0,(),1,"('saving',)",0,(),0,(),2,"('body', 'transplant')",1,"('scientist',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450825402801401861,16744446,Opelika-Auburn News,Wed Oct 20 14:05:05 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('coach', 'football')",1,"('program',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450817350039650307,16744446,Opelika-Auburn News,Wed Oct 20 13:33:05 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('worker',)",1,"('worker',)",0,(),0,(),0,(),0,(),1,"('airline',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450809063793647624,16744446,Opelika-Auburn News,Wed Oct 20 13:00:10 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('asian', 'black')",0,(),0,()
1450805267701149698,16744446,Opelika-Auburn News,Wed Oct 20 12:45:05 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('report',)",0,(),0,(),0,(),1,"('facebook',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450801278611820544,16744446,Opelika-Auburn News,Wed Oct 20 12:29:14 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('school',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),3,"('covid', 'doctor', 'vaccine')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('white',)",0,(),0,()
1450790923181375493,16744446,Opelika-Auburn News,Wed Oct 20 11:48:05 +0000 2021,0,(),0,(),0,(),0,(),2,"('event', 'open')",0,(),0,(),1,"('american',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450787146437173250,16744446,Opelika-Auburn News,Wed Oct 20 11:33:04 +0000 2021,0,(),2,"('climate', 'weather')",1,"('weather',)",0,(),1,"('open',)",1,"('trip',)",0,(),1,"('nba',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450783372289130505,16744446,Opelika-Auburn News,Wed Oct 20 11:18:04 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('celebrity',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450783372289130505,16744446,Opelika-Auburn News,Wed Oct 20 11:18:04 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('celebrity',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450771799042625541,16744446,Opelika-Auburn News,Wed Oct 20 10:32:05 +0000 2021,0,(),0,(),0,(),0,(),1,"('series',)",0,(),1,"('series',)",2,"('sox', 'sport')",0,(),1,"('rally',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
