tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450929850605346832,44439772,Phoenix New Times,Wed Oct 20 21:00:08 +0000 2021,1,"('car',)",0,(),0,(),2,"('law', 'police')",1,"('live',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('law',)",0,(),0,(),0,(),1,"('covid',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450914762376851464,44439772,Phoenix New Times,Wed Oct 20 20:00:10 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('run',)",0,(),1,"('congress',)",0,(),0,(),1,"('judicial',)",0,(),0,(),0,(),1,"('abortion',)",0,(),0,(),0,(),0,(),0,(),1,"('abortion',)",0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450899721720143873,44439772,Phoenix New Times,Wed Oct 20 19:00:24 +0000 2021,0,(),0,(),0,(),0,(),2,"('festival', 'thing')",2,"('book', 'festival')",2,"('comedy', 'festival')",1,"('star',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('star',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450884625350418432,44439772,Phoenix New Times,Wed Oct 20 18:00:25 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450567495602028545,44439772,Phoenix New Times,Tue Oct 19 21:00:15 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('singer',)",2,"('base', 'pop')",1,"('austin',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450552414579445762,44439772,Phoenix New Times,Tue Oct 19 20:00:20 +0000 2021,0,(),0,(),0,(),0,(),1,"('concert',)",0,(),1,"('concert',)",1,"('pop',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('gun',)",0,(),0,(),0,(),0,(),0,(),0,()
1450552414579445762,44439772,Phoenix New Times,Tue Oct 19 20:00:20 +0000 2021,0,(),0,(),0,(),0,(),1,"('concert',)",0,(),1,"('concert',)",1,"('pop',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('gun',)",0,(),0,(),0,(),0,(),0,(),0,()
1450537308009205764,44439772,Phoenix New Times,Tue Oct 19 19:00:18 +0000 2021,0,(),0,(),0,(),0,(),2,"('event', 'halloween')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450522237854011394,44439772,Phoenix New Times,Tue Oct 19 18:00:25 +0000 2021,0,(),0,(),0,(),0,(),1,"('open',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),2,"('bar', 'restaurant')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450507115890622465,44439772,Phoenix New Times,Tue Oct 19 17:00:20 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
