tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450917952660938766,27102881,Southeast Sun,Wed Oct 20 20:12:51 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('school',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450885036425764869,27102881,Southeast Sun,Wed Oct 20 18:02:03 +0000 2021,1,"('race',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),3,"('education', 'school', 'teach')",1,"('vote',)",1,"('resolution',)",0,(),0,(),0,(),0,(),0,(),0,(),1,"('measure',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450855136306270211,27102881,Southeast Sun,Wed Oct 20 16:03:14 +0000 2021,0,(),0,(),0,(),1,"('prison',)",0,(),1,"('club',)",0,(),0,(),0,(),1,"('representative',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450846511101882369,27102881,Southeast Sun,Wed Oct 20 15:28:58 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('veteran',)",0,(),0,(),0,(),0,(),1,"('chamber',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450845251963428864,27102881,Southeast Sun,Wed Oct 20 15:23:58 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('court',)",2,"('grade', 'school')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450845251963428864,27102881,Southeast Sun,Wed Oct 20 15:23:58 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('court',)",2,"('grade', 'school')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450841263985541124,27102881,Southeast Sun,Wed Oct 20 15:08:07 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450838686619344899,27102881,Southeast Sun,Wed Oct 20 14:57:52 +0000 2021,0,(),0,(),0,(),0,(),1,"('parade',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450826666792652802,27102881,Southeast Sun,Wed Oct 20 14:10:07 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('farm',)",0,(),0,(),0,(),0,(),0,(),0,(),1,"('restaurant',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450825168327266312,27102881,Southeast Sun,Wed Oct 20 14:04:09 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('commission',)",0,(),0,(),1,"('rate',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450823489305387008,27102881,Southeast Sun,Wed Oct 20 13:57:29 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('farm',)",0,(),0,(),0,(),0,(),0,(),0,(),1,"('restaurant',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450821470297407502,27102881,Southeast Sun,Wed Oct 20 13:49:28 +0000 2021,1,"('hold',)",0,(),0,(),0,(),0,(),0,(),0,(),2,"('conference', 'sport')",4,"('academic', 'college', 'program', 'school')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450816672135266310,27102881,Southeast Sun,Wed Oct 20 13:30:24 +0000 2021,0,(),0,(),0,(),0,(),2,"('live', 'thing')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450807153959350277,27102881,Southeast Sun,Wed Oct 20 12:52:34 +0000 2021,0,(),0,(),0,(),2,"('crime', 'police')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('jury',)",0,(),0,(),0,(),1,"('sex',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450782624830705669,27102881,Southeast Sun,Wed Oct 20 11:15:06 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('award',)",1,"('conference',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
